article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
sundrop pnut btr honey roast creamy 200g, pnut btr honey roast creamy ,200g,sundrop,chocolates cakes confectioneries,branded food,flavor: roast flavor: creamy flavor: honey type: honey, pnut btr ,['btr']
mera swad mukhwas apalam chapalam 165g, mukhwas apalam chapalam ,165g,mera swad,toys,toys stationery,, mukhwa apalam chapalam ,[]
chiko chocolate caramel eclairs chocolate 750g,chiko caramel eclairs ,750g,chocolate,chocolates cakes confectioneries,branded food,flavor: caramel flavor: eclairs,chiko ,[]
chiko royale cardamom caramel chocolate 800g,chiko royale cardamom caramel ,800g,chocolate,chocolates cakes confectioneries,branded food,flavor: cardamom flavor: caramel,chiko royale ,['royale']
mother dairy milk live lite pp 180ml, milk live lite pp ,180ml,mother dairy,chocolates cakes confectioneries,branded food,flavor: milk, live lite pp ,"['live', 'lite']"
cremica coconut cookie pp 200g, coconut cookie pp ,200g,cremica,fruit juices drinks,beverages,flavor: coconut, cookie pp ,['cookie']
cremica bsct ajwain cracker pp 90g, bsct ajwain cracker pp ,90g,cremica,masala spices,grocery,flavor: ajwain, bsct cracker pp ,['cracker']
santoor handwash mild pp 750ml, handwash mild pp ,750ml,santoor,personal hygiene,beauty personal care,type: handwash, mild pp ,['mild']
clmt air freshener citrus 50g, air freshener citrus ,50g,clmt,freshners repellents,home hygiene,flavor: citrus type: freshener, air ,['air']
oreo strawberry sandwich cream biscuit 120g, strawberry sandwich cream biscuit ,120g,oreo,biscuits cookies crackers,branded food,type: cream flavor: cream flavor: sandwich flavor: strawberry, biscuit ,['biscuit']
breeze soap intl french rose 3*65g, soap intl french rose ,3*65g,breeze,skin care,beauty personal care,type: soap, intl french rose ,"['french', 'rose']"
mccain new smiles tangy tomato pp 375g, new smiles tangy tomato pp ,375g,mccain,frozen veg,branded food,flavor: tangy flavor: tomato, new smiles pp ,"['new', 'smiles']"
sunsilk stunning black shine shampoo 80 ml, stunning black shine shampoo ,80 ml,sunsilk,hair care,beauty personal care,type: shampoo color: black, stunning shine ,"['stunning', 'shine']"
vi john shaving foam bt 300g,vi john shaving foam bt ,300g,vi-john,men toiletries,beauty personal care,,vi john having foam bt ,"['john', 'foam']"
leonardo pomace olive oil bt 500ml, pomace olive bt ,500ml,leonardo,edible oil ghee,grocery,flavor: olive flavor: pomace color: olive, bt ,[]
protinex tasty chocolate 250g tin,protinex tasty tin,250g,chocolate,health drinks,beverages,flavor: tasty,protinex tin,['tin']
maggi mix bhuna masala makhani pp 65g, mix bhuna masala makhani pp ,65g,maggi,noodles pastas vermicelli,branded food,flavor: bhuna flavor: makhani, mix masala pp ,"['mix', 'masala']"
vega flat brush regular rifb,vega flat brush rifb,,regular,hair care,beauty personal care,,vega flat bruh rifb,"['vega', 'flat']"
pond s men oil control fairness moisturizer 20 g, men oil control fairne moiturizer ,20 g,pond s,skin care,beauty personal care,, men oil control fairne moiturizer ,"['men', 'oil', 'control']"
so fresh choco hamper box 18pcs,so choco hamper box ,18pcs,soo fresh,stationery,toys stationery,flavor: choco,so hamper box ,"['hamper', 'box']"
medimix soap glyc lakshd oil 4+1 125g, soap glyc lakshd oil 4+ 25g,1 125g,medimix,skin care,beauty personal care,type: soap, glyc lakshd oil 4+ 25g,['oil']
krachi bis osmania 400g 500g,krachi bis osmania 500g,400g,karachi,toys,toys stationery,,krachi bi omania 500g,[]
205 c mopking cotton,205 c mopking cotton,,gala,cleaning accessories,home hygiene,flavor: cotton,205 c mopking ,['205']
unibic cookies cashew butter 60g 75g, cashew butter 75g,60g,unibic,biscuits cookies crackers,branded food,flavor: butter flavor: cashew, 75g,[]
nivea shaving foam extra moisture 200m, shaving foam extra moisture 200m,,nivea,men toiletries,beauty personal care,, having foam extra moiture 200m,"['foam', 'extra']"
nesplus ms granola choco caramel pp 215g, ms granola choco caramel pp ,215g,nesplus,breakfast cereals,branded food,flavor: choco flavor: caramel flavor: granola, ms pp ,[]
fiama dw soap celebration 4+1 125g op, dw soap celebration 4+ 25g op,1 125g,fiama di wills,skin care,beauty personal care,type: soap, dw celebration 4+ 25g op,['celebration']
nivea deo whitening talc touch cn 150ml, deo whitening talc touch cn ,150ml,nivea,deos perfumes,beauty personal care,type: whitening type: talc, deo touch cn ,"['deo', 'touch']"
blue bird malai kulfi dessert mix 100g, malai kulfi mix ,100g,blue bird,baking dessert mixes,branded food,flavor: kulfi flavor: malai, mix ,['mix']
blue bird elicoidale pasta 200g, elicoidale pasta ,200g,blue bird,noodles pastas vermicelli,branded food,flavor: pasta, elicoidale ,[]
haldiram namkeen chatpata dal 200g, namkeen chatpata dal ,200g,haldiram s,chips namkeens snacks,branded food,flavor: dal flavor: namkeen, chatpata ,[]
haldiram namkeen kashmiri mixture 200g, namkeen kahmiri mixture ,200g,haldiram s,chips namkeens snacks,branded food,flavor: namkeen, kahmiri mixture ,['mixture']
haldiram s shahi mixture namkeen 200g, hahi mixture namkeen ,200g,haldiram s,chips namkeens snacks,branded food,flavor: namkeen, hahi mixture ,['mixture']
sapphire butter cookies silver collection 400g, butter cookies silver collection ,400g,sapphire,chocolates cakes confectioneries,branded food,flavor: butter color: silver flavor: cookies, collection ,['collection']
dabur hairoil vatika heena amla lmn 300m, hairoil heena amla lmn 300m,,dabur vatika,toys,toys stationery,flavor: amla, hairoil heena lmn 300m,[]
ektaa kheer sabudana pp 500g, kheer sabudana pp ,500g,ektaa,breakfast cereals,branded food,flavor: kheer, sabudana pp ,[]
haldiram nmkn methi puri pp 200g, nmkn methi puri pp ,200g,haldiram s,chips namkeens snacks,branded food,flavor: puri flavor: methi, nmkn pp ,[]
dove baby soap rich moisture bx 75g, soap rich moisture bx ,75g,baby dove,baby care,baby care,type: soap, rich moisture bx ,"['rich', 'moisture']"
lifebuoy cool fresh hand wash 185 ml pack of 3 , cool fresh hand wash pack of 3 ,185 ml,lifebuoy,personal hygiene,beauty personal care,type: wash, cool fresh hand pack of 3 ,"['cool', 'fresh', 'hand', 'pack']"
lifebuoy total 10 activ naturol hand wash 800 ml, total 10 activ naturol hand wash ,800 ml,lifebuoy,personal hygiene,beauty personal care,type: wash, total 10 activ naturol hand ,"['total', 'hand']"
axe provoke deodorant 150 ml, provoke deodorant ,150 ml,axe,deos perfumes,beauty personal care,type: deodorant, provoke ,['provoke']
axe pulse deodorant 150 ml, pulse deodorant ,150 ml,axe,deos perfumes,beauty personal care,type: deodorant, pulse ,['pulse']
huggies new dry diapers small 10 pcs, new dry diapers small ,10 pcs,huggies,baby care,baby care,type: diapers, new dry small ,"['new', 'dry', 'small']"
hommade paste tamarind 200g, tamarind ,200g,hommade,cooking paste,grocery,flavor: tamarind, ,[]
kw ic butterscotch cup 90ml,kw ic butterscotch cup ,90ml,3m scotch-brite,stationery,toys stationery,flavor: butterscotch,kw ic cup ,['cup']
mystarpouchcurd350g,mystarpouchcurd,350g,,chocolates cakes confectioneries,branded food,,mytarpouchcurd,[]
hershesy brookside chocolate raspberry & goji 33.3g,hershesy chocolate raspberry & goji ,33.3g,brookside,health drinks,beverages,type: chocolate flavor: raspberry flavor: chocolate flavor: goji,hershesy & ,[]
everest pow spice coriander pp 200g, pow spice coriander pp ,200g,everest,masala spices,grocery,flavor: coriander, pow spice pp ,"['pow', 'spice']"
mother dairy icecrm shahi meva mli tb 1l, icecrm shahi meva mli tb ,1l,mother dairy,chips namkeens snacks,branded food,flavor: shahi, icecrm meva mli tb ,[]
veg affaire frozen mix veg pp 200g, mix pp ,200g,veg affaire,frozen veg,branded food,, mix pp ,['mix']
pan brand sooji pp 500g, sooji pp ,500g,pan brand,dry fruits,grocery,flavor: sooji, pp ,[]
mother s recipe mixed pickle 400g, mixed pickle ,400g,mother s recipe,pickles chutneys,branded food,flavor: pickle, mixed ,['mixed']
organic tattva smal mustard rai jr 140g, smal mustard rai jr ,140g,organic tattva,organic spices,grocery,flavor: mustard, smal rai jr ,['rai']
organic tattva whole wheat atta pp 5kg, whole wheat atta pp ,5kg,organic tattva,organic pulses,grocery,flavor: wheat, whole atta pp ,"['whole', 'atta']"
raw pressery probiotic blueberry 250ml, probiotic blueberry ,250ml,raw pressery,chips namkeens snacks,branded food,flavor: blueberry, probiotic ,[]
ec opp sanitary cube,ec opp sanitary cube,,,feminine care,beauty personal care,,ec opp anitary cube,"['opp', 'cube']"
ts basic flat brush purple 8543, basic flat brush purple 8543,,ts,cleaning accessories,home hygiene,color: purple type: purple, basic flat brush 8543,"['basic', 'flat', 'brush', '8543']"
lindt chocolate hazelnut les grandes 150g,lindt hazelnut les grandes ,150g,chocolate,chocolates cakes confectioneries,branded food,flavor: hazelnut,lindt les grandes ,"['les', 'grandes']"
lactima cheese smictankowy wapina 140g, cheese smictankowy wapina ,140g,lactima,chips namkeens snacks,branded food,flavor: cheese, smictankowy wapina ,[]
chings instant soup swt corn veg pp 15g,chings instant soup swt corn veg pp ,15g,,ready to eat,branded food,flavor: corn flavor: veg flavor: soup,chings instant swt pp ,['instant']
brijnandan namk palak matthi pp 400g,brijnandan namk palak matthi pp ,400g,,toys,toys stationery,flavor: palak,brijnandan namk matthi pp ,[]
philips cfl ess 8w, cfl ess 8w,,philips,personal care appliances,beauty personal care,, cfl e 8w,[]
pooof kettle cps thai swt chilli pp 30g,pooof kettle cps thai swt chilli pp ,30g,pooof!,sauces puree dips,branded food,flavor: chilli,pooof kettle cps thai swt pp ,"['kettle', 'cps', 'thai']"
gillette cartrdg mach 3 turbo senstv 2p, cartrdg mach 3 turbo senstv ,2p,gillette,men toiletries,beauty personal care,, cartrdg mach 3 turbo entv ,"['mach', 'turbo']"
health1st cold pressed til oil bt 500ml,healtht cold pressed til bt 500ml,1s,,edible oil ghee,grocery,,healtht cold preed til bt 500ml,"['cold', 'til']"
salsalito sauce taco hot bt 283g, sauce taco hot bt ,283g,salsalito,sauces puree dips,branded food,flavor: taco flavor: sauce color: hot, bt ,[]
tong garden snk chili brod beans pp 120g, snk chili brod beans pp ,120g,tong garden,canned tinned food,branded food,flavor: beans flavor: chili, snk brod pp ,['brod']
arohi veg fryum sago pot chkli rc 200g, veg fryum sago pot chkli rc ,200g,arohi,toys,toys stationery,flavor: sago flavor: veg, fryum pot chkli rc ,['pot']
tong garden wasabi coatd green peas 180g, wasabi coatd green peas ,180g,tong garden,frozen veg,branded food,flavor: wasabi color: green flavor: peas, coatd ,[]
prabhat paushti mlk 500 ml, paushti k ,500 ml,prabhat,mineral water soda,beverages,, pauhti k ,[]
embog cheese danish brie 125gm,embog cheese danish brie m,125g,fortune,frozen veg,branded food,flavor: cheese flavor: brie,embog danish m,['danish']
nature valley variety pack, variety pack,,nature valley,chocolates cakes confectioneries,branded food,, variety pack,"['variety', 'pack']"
kw creme brulee 750ml,kw creme brulee ,750ml,,skin care,beauty personal care,flavor: brulee,kw creme ,['creme']
tropicana nectar mango 1l, nectar mango ,1l,tropicana,fruit juices drinks,beverages,flavor: mango, nectar ,['nectar']
pabda whole,pabda whole,,head & shoulders,hair care,beauty personal care,,pabda whole,['whole']
seerfish fillet,seerfish fillet,,center fresh,chocolates cakes confectioneries,branded food,flavor: fillet,seerfish ,[]
pangush fillet,pangush fillet,,,chocolates cakes confectioneries,branded food,flavor: fillet,pangush ,[]
green snack sea salt & vinegar kale chip 30g, sea salt & vinegar kale chip ,30g,the green snack co.,chips namkeens snacks,branded food,flavor: vinegar flavor: kale type: vinegar, sea salt & chip ,"['sea', 'salt', 'chip']"
saras desi ghee pp 1l, desi pp ,1l,saras,edible oil ghee,grocery,, dei pp ,['dei']
american garden original barbeque sauce 510g, original barbeque sauce ,510g,american garden,sauces puree dips,branded food,flavor: sauce, original barbeque ,['original']
dhara groundnut oiltp 1l, groundnut oiltp ,1l,dhara,frozen veg,branded food,flavor: groundnut, oiltp ,[]
mtr namkeen salted banana chip 180g, namkeen salted banana chip ,180g,mtr,chips namkeens snacks,branded food,flavor: banana flavor: namkeen, salted chip ,"['salted', 'chip']"
mtr readymeal mutter paneer 300g, meal mutter paneer ,300g,mtr,ready to eat,branded food,flavor: paneer, meal mutter ,"['meal', 'mutter']"
mtr readymeal navratan korma 300g, meal navratan korma ,300g,mtr,ready to eat,branded food,flavor: korma, meal navratan ,['meal']
mtr rice sevai vermicelli 165g, rice sevai ,165g,mtr,noodles pastas vermicelli,branded food,flavor: rice, sevai ,[]
garys chocolate walnut cake with egg,garys walnut cake with egg,,chocolate,chocolates cakes confectioneries,branded food,flavor: walnut flavor: egg,garys cake with ,['cake']
hsy milkshk strawberry 200 ml,hsy milkshk strawberry ,200 ml,,soft drinks,beverages,flavor: strawberry,hsy milkshk ,[]
cream biscuit pineapple 4 fun,cream biscuit pineapple 4 ,,,fun drink mix,beverages,type: cream flavor: cream flavor: pineapple, biscuit 4 ,['biscuit']
kwality walls kesar pista 700 ml party pack, kesar pista party pack,700 ml,kwality walls,ice cream desserts,branded food,flavor: kesar flavor: pista, party pack,"['party', 'pack']"
3m magic tape 3 4 x 32.9 mtrs w disp, ic tape 3 4 x 32.9 mtrs w disp,3m mag,3m,stationery,toys stationery,, ic tape 3 4 x 32.9 mtr w dip,"['tape', '32.9', 'dip']"
clean & cl fw morn eng lemon2+1 100ml op, & cl fw morn eng lemon2+ 00ml op,1 100ml,clean mate,toys,toys stationery,, & cl fw morn eng lemon2+ 00ml op,"['morn', 'eng']"
harpic toilt clnr flushmatic sgl 50g, toilt clnr flushmatic sgl ,50g,harpic,home cleaning,home hygiene,, toilt clnr fluhmatic gl ,[]
patanjali cornflakes mix 500g, cornflakes mix ,500g,patanjali,masala spices,grocery,, cornflake mix ,"['cornflake', 'mix']"
l- rajma kashmiri,l- rajma kashmiri,,aashirvaad,flours sooji,grocery,flavor: rajma,l- kashmiri,['kashmiri']
vivel soap mixed fruit cream 3*150g, soap mixed fruit cream ,3*150g,vivel,skin care,beauty personal care,type: cream type: soap flavor: cream flavor: fruit, mixed ,['mixed']
monster energy drinks can 350ml, energy can ,350ml,monster,soft drinks,beverages,, energy can ,['energy']
huggies diapers dry small 10p, diapers dry small ,10p,huggies,baby care,baby care,type: diapers, dry small ,"['dry', 'small']"
vlcc henna 100g, henna ,100g,vlcc,hair care,beauty personal care,type: henna, ,[]
maggi masala ae magic share bag 72g 78g, masala ae magic share bag 78g,72g,maggi,noodles pastas vermicelli,branded food,type: bag, masala ae magic share 78g,"['masala', 'magic', 'share']"
protinex tasty chocolate 400g tin,protinex tasty tin,400g,chocolate,health drinks,beverages,flavor: tasty,protinex tin,['tin']
delicious fn chicken nuggets pp 750g, fn chicken nuggets pp ,750g,delicious,ready to eat,branded food,flavor: chicken, fn nuggets pp ,['nuggets']
banana flower,baa flower,,food bazaar,masala spices,grocery,flavor: flower,baa ,['baa']
brinjal small green,brinjal small ,,green brrew,home cleaning,home hygiene,flavor: brinjal, small ,['small']
cherry tomato, tomato,,cherry,sauces puree dips,branded food,flavor: tomato, ,[]
mango badaam, badaam,,three mango,pickles chutneys,branded food,, badaam,[]
bigger six grain stix cheesy jalapeno,bigger six grain stix cheesy jalapeno,,,jams spreads honey,branded food,flavor: grain flavor: jalapeno,bigger six stix cheesy ,"['bigger', 'six', 'cheesy']"
american g sld drsng lit italn bt 227g, g sld drsng lit italn bt ,227g,american garden,jams spreads honey,branded food,, g ld drng lit italn bt ,['lit']
pantai sauce oyster bt 200ml, sauce oyster bt ,200ml,pantai,sauces puree dips,branded food,flavor: oyster flavor: sauce, bt ,[]
engage perfume swt blossom women bt 18m, perfume swt blossom women bt 18m,,engage,deos perfumes,beauty personal care,type: perfume, swt blossom women bt 18m,"['blossom', 'women']"
gh who spice badiyan 25g,gh who badiyan ,25g,old spice,freshners repellents,home hygiene,,gh who badiyan ,[]
gh rice basmati khichadi pp 2kg,gh rice basmati khichadi pp ,2kg,,organic grains,grocery,flavor: rice flavor: basmati,gh khichadi pp ,[]
gh kurmura roasted 500g,gh kurmura roasted ,500g,,mineral water soda,beverages,flavor: roasted,gh kurmura ,[]
gh oth flour ragi 500g,gh oth flour ragi ,500g,,flours sooji,grocery,flavor: ragi flavor: flour,gh oth ,['oth']
gh seasoning paprika bt 58g,gh seasoning paprika bt ,58g,,masala spices,grocery,flavor: seasoning flavor: paprika,gh bt ,[]
spinz talc exotic 400g, talc exotic ,400g,spinz,masala spices,grocery,type: talc, exotic ,['exotic']
sofrsh vd ge blueberry 6p,sofrsh vd ge blueberry ,6p,galaxy,chocolates cakes confectioneries,branded food,flavor: blueberry,sofrsh vd ge ,[]
bc khatta meetha 400g,bc khatta meetha ,400g,,chips namkeens snacks,branded food,,bc khatta meetha ,[]
bhikharam chand bikaneri spc bhujia 200g, chand bikaneri spc bhujia ,200g,bhikharam chandmal,otc,beauty personal care,, chand bikaneri pc bhujia ,['chand']
gh rice basmati dil khush 5kg,gh rice basmati dil khush ,5kg,,organic grains,grocery,flavor: rice flavor: basmati,gh dil khush ,[]
amul shrikhand kesar tub 500g, shrikhand kesar tub ,500g,amul,ice cream desserts,branded food,flavor: kesar type: tub, shrikhand ,[]
amul butter school pk 100g, butter school pk ,100g,amul,ice cream desserts,branded food,flavor: butter, school pk ,['school']
amul garlic & herb butter 100gm, garlic & herb butter m,100g,amul,frozen veg,branded food,flavor: butter flavor: garlic flavor: herb, & m,[]
gh brown basmati rice jar 1kg,gh basmati rice jar ,1kg,brown & polson,organic grains,grocery,flavor: rice flavor: basmati,gh jar ,['jar']
gh sabudana big 500g,gh sabudana ,500g,big sams,chocolates cakes confectioneries,branded food,,gh abudana ,[]
amul lactose free milk 250ml, lactose free milk ,250ml,amul,ice cream desserts,branded food,flavor: milk, lactose free ,"['lactose', 'free']"
fun foods sauce barbecue 300g,fun sauce barbecue ,300g,hr foods,sauces puree dips,branded food,flavor: sauce,fun barbecue ,"['fun', 'barbecue']"
emami talc alpine dew 400g, talc alpine dew ,400g,emami,stationery,toys stationery,type: talc, alpine dew ,"['alpine', 'dew']"
saffola act ckp sp tangy tomato pp 53g, act ckp sp tangy tomato pp ,53g,saffola,sauces puree dips,branded food,flavor: tangy flavor: tomato, act ckp sp pp ,['act']
whisper maxi l wings 8 pads, maxi l wings ,8 pads,whisper,feminine care,beauty personal care,type: maxi, l wings ,['wings']
whisper sanitry pad ultra wgs xl 2p, sanitry pad ultra wgs xl ,2p,whisper,feminine care,beauty personal care,, anitry pad ultra wg xl ,"['pad', 'ultra']"
garnier cond ub royal jelly&lvnd bt 75ml, cond ub royal jelly&lvnd bt ,75ml,garnier,skin care,beauty personal care,, cond ub royal jelly&lvnd bt ,['royal']
clmt dshw gel lemon 750ml+lemon 250ml, dshw gel lemon +lemon 250ml,750ml,clmt,skin care,beauty personal care,flavor: lemon type: gel, dshw + 250ml,[]
choostix dog food natural flav pp 450g, dog food natural flav pp ,450g,choostix,pet care,home hygiene,, dog food natural flav pp ,"['dog', 'food', 'natural', 'flav']"
remia spread mayonnaise lite 500ml, spread mayonnaise lite ,500ml,remia,jams spreads honey,branded food,type: mayonnaise flavor: mayonnaise, spread lite ,"['spread', 'lite']"
lifebuoy clini care 10 fresh soap bar 75 g, clini 1 h soap bar 75 g,0 fres,lifebuoy,skin care,beauty personal care,type: soap, clini 1 h bar 75 g,['bar']
lifebuoy care soap bar 68 g, soap bar ,68 g,lifebuoy,skin care,beauty personal care,type: soap, bar ,['bar']
real cranberry juice 1l, cranberry juice ,1l,real,fruit juices drinks,beverages,flavor: juice flavor: cranberry, ,[]
real pomegranate juice 1l, pomegranate juice ,1l,real,fruit juices drinks,beverages,flavor: juice flavor: pomegranate, ,[]
oral b tbrush pro hlth gum care soft 1p, b tbrush pro hlth gum soft ,1p,oral-b,oral care,beauty personal care,, b tbruh pro hlth gum oft ,"['pro', 'gum', 'oft']"
london dairy ice crm cookie & crm 1l, crm cookie & crm ,1l,london dairy,ice cream desserts,branded food,, crm cookie & crm ,['cookie']
real juices book pack gift pack 3*1l, book pack gift pack ,3*1l,real,fruit juices drinks,beverages,, book pack gift pack ,"['book', 'pack', 'gift', 'pack']"
top ramen fiery chilli noodles 280g, fiery chilli ,280g,top ramen,noodles pastas vermicelli,branded food,flavor: chilli, fiery ,['fiery']
top ramen ndl curry 70g, ndl curry ,70g,top ramen,noodles pastas vermicelli,branded food,flavor: curry, ndl ,[]
layerr wotta girl obsession 135ml,layerr wotta girl obsession ,135ml,,toys,toys stationery,,layerr wotta girl obeion ,['girl']
priya gold chocolate smiley cream biscuit 500g,priya gold smiley cream biscuit ,500g,chocolate,biscuits cookies crackers,branded food,type: cream flavor: cream,priya gold smiley biscuit ,"['gold', 'smiley', 'biscuit']"
pond s sandal radiance talc 50 g, andal radiance talc ,50 g,pond s,otc,beauty personal care,type: talc, andal radiance ,['radiance']
himalaya scrub tan rmoval orange 100g, scrub tan rmoval orange ,100g,himalaya,skin care,beauty personal care,flavor: orange color: orange color: tan, scrub rmoval ,['scrub']
g bakers bread - multi grain 400 gm, bread - multi rain m,400 g,g bakers,soft drinks,beverages,flavor: bread, - multi rain m,"['multi', 'rain']"
mtr masala papad 100g, masala papad ,100g,mtr,ready to fry,branded food,flavor: papad, masala ,['masala']
mtr simply tomato soup 250g, simply ma soup ,250g,mtr,ready to eat,branded food,flavor: soup, simply ma ,['simply']
mtr spinach & carrot soup 250g, spinach & carrot soup ,250g,mtr,ready to eat,branded food,flavor: carrot flavor: spinach flavor: soup, & ,[]
garys bar cake red velvet, bar cake red velvet,,garys,chocolates cakes confectioneries,branded food,color: velvet color: red, bar cake ,"['bar', 'cake']"
philips gls 100w, gls 100w,,philips,personal care appliances,beauty personal care,, gl 100w,[]
schogetten chocolate cappuccino 100g, chocolate cappuccino ,100g,schogetten,chocolates cakes confectioneries,branded food,type: chocolate flavor: chocolate, cappuccino ,['cappuccino']
natures choice pishori pstachios jr 100g,natures pishori pstachios jr ,100g,easy choice,toys,toys stationery,,nature pihori ptachio jr ,['nature']
mother earth cinnamon 100g, cinnamon ,100g,mother earth,chips namkeens snacks,branded food,flavor: cinnamon, ,[]
mother earth sugar 500g, ,500g,mother earth,salt sugar jaggery,grocery,, ,[]
ongs sauce teriyaki 210m,ongs sauce teriyaki 210m,,,sauces puree dips,branded food,flavor: teriyaki flavor: sauce,ongs 210m,[]
heidi choc dark cranberry 80g, choc dark cranberry ,80g,heidi,chocolates cakes confectioneries,branded food,color: dark flavor: cranberry, choc ,['choc']
tata tea bag teaveda pro woman box 30pcs, bag veda pro woman box ,30pcs,tata tea,tea coffee,beverages,type: bag, veda pro woman box ,"['pro', 'woman', 'box']"
garden ni namk 2in1 instant combo 320g, ni namk 2in tant combo 320g,1 ins,garden,chocolates cakes confectioneries,branded food,, ni namk 2in tant combo 320g,"['tant', 'combo']"
kw strawberry cheesecake750ml,kw strawberry cheesecake,750ml,,chocolates cakes confectioneries,branded food,flavor: cheesecake flavor: strawberry,kw ,[]
wfer biscuit waffy 4*75g,wfer biscuit waffy ,4*75g,,biscuits cookies crackers,branded food,,wfer bicuit waffy ,[]
shan readymix chicken tikka barbeque 50g, readymix chicken tikka barbeque ,50g,shan,frozen veg,branded food,flavor: chicken flavor: tikka, readymix barbeque ,[]
shan readymix chicken 50g, mix chicken ,50g,shan,ready to eat,branded food,flavor: chicken, mix ,['mix']
american g sauce hot 88m, g sauce hot 88m,,american garden,sauces puree dips,branded food,flavor: sauce color: hot, g 88m,[]
sprouts channa brown,sprouts channa brown,,himani boro plus,organic grains,grocery,color: brown flavor: channa flavor: sprouts, ,[]
pockchoy,pockchoy,,ty-phoo,toys,toys stationery,,pockchoy,[]
sofrsh vd bread pav 6p,sofrsh vd bread pav ,6p,l oreal paris,otc,beauty personal care,flavor: bread,sofrsh vd pav ,['pav']
sun liquid red 25 ml, liquid red ,25 ml,sun,home cleaning,home hygiene,color: red, liquid ,['liquid']
ttrt bourbon chocolate pp 60g,ttrt bourbon pp ,60g,chocolate,chocolates cakes confectioneries,branded food,,ttrt bourbon pp ,['bourbon']
odonil room frs gel rose dreams 75g, room frs gel rose dreams ,75g,odonil,freshners repellents,home hygiene,type: gel, room frs rose dreams ,"['room', 'frs', 'rose', 'dreams']"
skittles candy crazy sours pp 55g, candy crazy sours pp ,55g,skittles,baby food,baby care,flavor: candy, crazy sours pp ,"['crazy', 'sours']"
malas orange crush 1l,malas orange crush ,1l,,fun drink mix,beverages,flavor: orange color: orange,malas crush ,['crush']
kamasutra spark red spice deo 140ml, spark red spice deo ,140ml,kamasutra,deos perfumes,beauty personal care,color: red, spark spice deo ,"['spark', 'spice', 'deo']"
eva deo whitening floral fusion 150 ml, deo whitening floral fusion ,150 ml,eva,freshners repellents,home hygiene,type: whitening flavor: floral, deo fusion ,"['deo', 'fusion']"
ttrt chinese noodle hakka 800g,ttrt chinese noodle hakka ,800g,,noodles pastas vermicelli,branded food,,ttrt chinee noodle hakka ,['noodle']
odonil room frsh jasmine fresh 200g, room frsh jasmine fresh ,200g,odonil,freshners repellents,home hygiene,flavor: jasmine, room frsh fresh ,"['room', 'fresh']"
mdh pow spice hing 10g, pow spice hing ,10g,mdh,masala spices,grocery,, pow pice hing ,['pow']
mdh pow spice deghi chilli 100g, pow spice deghi chilli ,100g,mdh,masala spices,grocery,flavor: chilli, pow spice deghi ,"['pow', 'spice']"
tasty treat namk matar chana pp 200g, namk matar chana pp ,200g,tasty treat,frozen veg,branded food,flavor: matar flavor: chana, namk pp ,[]
ttrt soup thick tomato 60g,ttrt soup thick tomato ,60g,,sauces puree dips,branded food,flavor: tomato flavor: soup,ttrt thick ,['thick']
gh daily oth pulse matki whole 500g,gh daily oth pulse matki whole ,500g,,baby care,baby care,,gh daily oth pule matki whole ,"['daily', 'oth', 'whole']"
gh daily rajma kashmiri red big 1kg,gh daily rajma kashmiri big ,1kg,red bull,skin care,beauty personal care,flavor: rajma,gh daily kashmiri big ,"['daily', 'kashmiri', 'big']"
bournvita 5 star magic health drink jar 500g,bournvita tar magic drink jar 00g,5 s,health 1st,health drinks,beverages,,bournvita tar magic drink jar 00g,"['tar', 'magic', 'drink', 'jar']"
gh pow spice red chilli pp 100g,gh pow red chilli pp ,100g,old spice,freshners repellents,home hygiene,flavor: chilli color: red,gh pow pp ,['pow']
gh who spice javetri 50g,gh who javetri ,50g,old spice,freshners repellents,home hygiene,,gh who javetri ,[]
bonn bread prime time burger, bread prime time burger,,bonn,stationery,toys stationery,flavor: bread flavor: burger, prime time ,"['prime', 'time']"
bonn bread - suji toast 300g, bread - suji toast ,300g,bonn,mineral water soda,beverages,flavor: bread flavor: suji, - toast ,['toast']
bonn fruit bun,bonn bun,,fruit,fruit juices drinks,beverages,,bonn bun,"['bonn', 'bun']"
gh prime who spice white til pp 100g,gh prime who spice white til pp ,100g,mr.white,stationery,toys stationery,color: white,gh prime who spice til pp ,"['prime', 'spice', 'til']"
gh prime kodo millet pp 500g,gh prime kodo millet pp ,500g,,baby food,baby care,flavor: millet,gh prime kodo pp ,['prime']
gh prime chana mausami pp 500g,gh prime chana mausami pp ,500g,,frozen veg,branded food,flavor: chana,gh prime mausami pp ,['prime']
sakthi pow spice coriander 100g, pow spice coriander ,100g,sakthi,masala spices,grocery,flavor: coriander, pow spice ,"['pow', 'spice']"
tinkle orange candy jar 100g, orange candy jar ,100g,tinkle,fun drink mix,beverages,flavor: orange color: orange flavor: candy, jar ,['jar']
axe signature perfume sport body bt 122m, perfume sport body bt 122m,,axe signature,deos perfumes,beauty personal care,type: perfume, sport body bt 122m,"['sport', 'body']"
clean mate air freshener 4*75g, air freshener ,4*75g,clean mate,freshners repellents,home hygiene,type: freshener, air ,['air']
ponds fw white beauty 20g, fw white ,20g,ponds,skin care,beauty personal care,color: white, fw ,[]
