cleaned,quantity,final_brand,class1,class2
pineapple cake,,britannia,biscuits cookies crackers,branded food
 fennel seeds ,100g,mother earth,chips namkeens snacks,branded food
 choco dark extreme br ,80g,heidi,chocolates cakes confectioneries,branded food
 choco pure creamy white br ,80g,heidi,jams spreads honey,branded food
 khakhra mobile methi ,180g,jalaram food s,masala spices,grocery
 khakhra mobile punjabi ,180g,jalaram food s,masala spices,grocery
" 9 to rimer + matte li color, mb1 coffee command, 3.6 g",5 p,lakme,skin care,beauty personal care
 fw pure neem 100m,,joy,otc,beauty personal care
 chakli bhajni pp ,500g,suhana ,toys,toys stationery
 strawberry & vanilla cream biscuit ,60g,sunfeast,biscuits cookies crackers,branded food
 yippe chinese masala ,75g,sunfeast,noodles pastas vermicelli,branded food
 hairgel look 100m,,set wet,toys,toys stationery
glucon d original jar ,200g,glucon-d,jams spreads honey,branded food
 sauce 7 herb tomato ,680.4g,ragu,sauces puree dips,branded food
sunfest biscuits farmlite oats & raisin box ,150g,,breakfast cereals,branded food
 cashew salted pp ,200g,rostaa,chips namkeens snacks,branded food
nilons garlic + 00g,1 100g,,cooking paste,grocery
 mixed fruit cake ,30g,baker street,soft drinks,beverages
 hide & seek choco chip ,120g,parle,biscuits cookies crackers,branded food
 candy kismi gold poly pack ,342g,parle,biscuits cookies crackers,branded food
nilons pickle sw lm pick ,500g,,pickles chutneys,branded food
 chocolate for girls ,20g,kinder joy,chocolates cakes confectioneries,branded food
 diaper active sml ,46p,pampers,baby care,baby care
 black phenyle,,deepak,home cleaning,home hygiene
 besan pp ,1kg,pan brand,chocolates cakes confectioneries,branded food
 ecret manchurian auce ,62g,ching s secret,sauces puree dips,branded food
brijnandan silky ladoo ,12 pcs,,baby care,baby care
mamy poko pants diaper xxl c,12p,baby,baby care,baby care
 b sp lavndr 200m,,royal mirage,otc,beauty personal care
 det liq neem bt ,400g,wipro safewash,otc,beauty personal care
 utsav shahi gulab fruit concentrate asses,32 gl,rasna,breakfast cereals,branded food
 readymix dalmakhani bx ,100g,catch,masala spices,grocery
 dahi sprinklers bt ,50g,catch,masala spices,grocery
 salt table bt ,200g,catch,masala spices,grocery
 american corn m,500g,pagro,ready to eat,branded food
 mix ve m pouch,500 g,pagro,masala spices,grocery
disney crmt wipes aloe vera ,30p,baby,baby care,baby care
 pasta elbows ,500g,disano,noodles pastas vermicelli,branded food
ttrt ni namk khakhra jeera ,180g,,baking dessert mixes,branded food
 fw bio neem purifying ,150ml,biotique,skin care,beauty personal care
ttrt sauce tom mayo pp ,200g,,sauces puree dips,branded food
 rm frsnr t&f fresh lemon ref 12m,,glade,freshners repellents,home hygiene
 sauce extra hot periperi bt ,250ml,nandos,sauces puree dips,branded food
gh fruit n nut almonds ,1kg,premium,chocolates cakes confectioneries,branded food
gh fortified chakki atta ,10kg,soo fresh,oral care,beauty personal care
 grand extra long bsmti rice pp ,5kg,tilda,frozen veg,branded food
 chamak 50carat mogra bsmt rice 10k,,tilda,frozen veg,branded food
 ndl ecret manchurian ,60g,ching s secret,sauces puree dips,branded food
 cheese gouda slice pp ,130g,lactima,chips namkeens snacks,branded food
 nail enamel midnight ,9ml,ts,skin care,beauty personal care
 jam raspberry diabetic ,315g,dana,jams spreads honey,branded food
 crm bis golden vanilla pp ,120g,oreo,biscuits cookies crackers,branded food
oreo cream biscuit 4+ 20g op,1 120g,chocolate,biscuits cookies crackers,branded food
 napthalene balls ,500g,clmt,chocolates cakes confectioneries,branded food
 cashew biscuits m,400g,karachi,chocolates cakes confectioneries,branded food
 zeera ,400g,karachi,biscuits cookies crackers,branded food
 bathroom wiper,298 g,gala,cleaning accessories,home hygiene
l-rasoi ki rice,,rani,chocolates cakes confectioneries,branded food
 fw turmeric&berberis ,150ml,vlcc,skin care,beauty personal care
 shape up slimming ,200ml,vlcc,edible oil ghee,grocery
 mixed juice ,1l,sunkist,fruit juices drinks,beverages
 premium orange juice ,1l,b natural,fruit juices drinks,beverages
 tofu,,crown,masala spices,grocery
 falooda strawberry ,200g,weikfield,fun drink mix,beverages
 cup rogan josh cp ,70g,nissin,noodles pastas vermicelli,branded food
 vinegar chili ,200g,weikfield,sauces puree dips,branded food
pooof kettle cps spicy schezwan pp ,65g,pooof!,toys,toys stationery
 pizza base,,harvest gold,masala spices,grocery
 herbed bread sticks ,100g,baker street,soft drinks,beverages
nilons sauce snack ,500g,,sauces puree dips,branded food
nilons sauce snack bottle ,1kg,,sauces puree dips,branded food
 mosquito cream natural ,50g,odomos,freshners repellents,home hygiene
 wati jr ,20p,pratha,edible oil ghee,grocery
 cornflakes assorted ,6*25g,soulfull,breakfast cereals,branded food
 lipgloss pink,,temper,soft drinks,beverages
 agrbti 4 in1 incense cone bx ,20p,pratha,stationery,toys stationery
walkers nutty brazil toffees ,150g,,biscuits cookies crackers,branded food
 butter yummy spread bx ,100g,nutralite,jams spreads honey,branded food
 olive classic bt ,250ml,karmiq,edible oil ghee,grocery
 pow pice garlic ,100g,roopak s,otc,beauty personal care
 sprd creamy reduce fat ,462g,skippy,soft drinks,beverages
 potato wafer pizza tn ,110g,pringles,chips namkeens snacks,branded food
 american mustard sauce ,310g,veeba,jams spreads honey,branded food
 cream anti fall ,100ml,himalaya,hair care,beauty personal care
 paneer butter ,300g,mtr,masala spices,grocery
" dosa breakfast mix, ",500g,mtr,ready mixes,grocery
 ketchup tomato ,900g,heinz,sauces puree dips,branded food
 dressing mustard bt ,300g,veeba,jams spreads honey,branded food
 shmp anti-dnrf mint cool ,180ml,pure derm,hair care,beauty personal care
 deo whitening ,150ml,nivea,deos perfumes,beauty personal care
 auce arrabbiata pata ,400g,sangi s kitchen,toys,toys stationery
 shower gel active clean men ,250ml,nivea,skin care,beauty personal care
nivea shower gel pure men ,250ml,impact,skin care,beauty personal care
sangis kcn teekhi chilli pwdr pp ,100g,,otc,beauty personal care
 coriander whole pp ,100g,sangi s kitchen,masala spices,grocery
 bdy ltn int cr hlthy w lgh 300m,,vaseline,toys,toys stationery
 soap sandal 4+ 25g,1 125g,medimix,skin care,beauty personal care
 crm bounce pineapple ,100g,sunfeast,biscuits cookies crackers,branded food
 cookie jeera butter ,67g,unibic,biscuits cookies crackers,branded food
 treat bourbon ,150g,britannia,biscuits cookies crackers,branded food
 cheese pizza block ,400g,britannia,biscuits cookies crackers,branded food
 hariyali kabab ,500g,venkys,frozen veg,branded food
 smoothie strwbr blubry 250m,,raw pressery,chips namkeens snacks,branded food
 fajita dinner kit ,488g,salsalito,ready to eat,branded food
 plus iron iodine pp ,1kg,tata,salt sugar jaggery,grocery
 utensl pow ultra 1k,,vim,utensil cleaners,home hygiene
 candy choco double eclair ,400g,candyman,chocolates cakes confectioneries,branded food
 kache ker pickle ,400g,chhagan magan,pickles chutneys,branded food
 cartridge vector ,6p,gillette,men toiletries,beauty personal care
 kool rose milk tetra pack ,200ml,amul,ice cream desserts,branded food
 butter unsalted bx ,100g,amul,ice cream desserts,branded food
 pro whey protien malt with dha jar ,500g,amul,ice cream desserts,branded food
ttrt pistachio cookies pp ,100g,,chocolates cakes confectioneries,branded food
ttrt juice jamun drink bt ,1l,fruit,dals pulses,grocery
 bl bio morning nectar bt ,210ml,biotique,baby care,baby care
 sport white musk deo ,140ml,kamasutra,deos perfumes,beauty personal care
 sc sandalwod sunscrn spf ,75 50ml,biotique,skin care,beauty personal care
 tf smile lol twin pp ,10g,odonil,freshners repellents,home hygiene
 s flavour stick ,27g,center fruit,chocolates cakes confectioneries,branded food
 cheese & jalepeno nachos with dip +15g,50g,inox muchos,chips namkeens snacks,branded food
 dahi misti ,85g,mother dairy,chocolates cakes confectioneries,branded food
 dahi aam doi cup ,85g,mother dairy,chips namkeens snacks,branded food
 chocolate cone ,100 ml,mother dairy,chocolates cakes confectioneries,branded food
 readymix shahi biryani bx ,50g,everest,masala spices,grocery
mother dry milk ,180ml,chocolate,chocolates cakes confectioneries,branded food
 soap deo ,3*100g,cinthol,skin care,beauty personal care
 dusheri,,three mango,pickles chutneys,branded food
apple washington,,wipro safewash,otc,beauty personal care
carrot orange,,gatorade,soft drinks,beverages
kamalkakri,,rin ala,chips namkeens snacks,branded food
kathal pkd,,kamasutra ks,toys,toys stationery
potato pkd ,5 kg,,chips namkeens snacks,branded food
potato pahari,,panchamrit,chips namkeens snacks,branded food
 rose mary,,exo,home cleaning,home hygiene
strawberry,,terra,chocolates cakes confectioneries,branded food
onion white,,mr.white,chips namkeens snacks,branded food
 peas,,the green snack co.,chocolates cakes confectioneries,branded food
chk hariyali kabab,,chhagan magan,chocolates cakes confectioneries,branded food
 dw soap gbb double mois ,3*125g,fiama di wills,skin care,beauty personal care
 soda ,100g,blue bird,baking dessert mixes,branded food
 liq con lemon twist bt ,750ml,hitkary,otc,beauty personal care
intl breaker mint wintergreen sf ,42g,,ice cream desserts,branded food
 fiesta fruit cocktail ,439g,del monte,canned tinned food,branded food
 deo code gold bx ,120ml,wild stone,deos perfumes,beauty personal care
 pow spice black pepper grinder ,40g,keya,masala spices,grocery
 craft penne rigate pasta ,1kg,del monte,noodles pastas vermicelli,branded food
 mix fruit jam ,500g,tasty treat,jams spreads honey,branded food
 guava juice ,2l,tasty treat,fruit juices drinks,beverages
 roasted ,,almond fresh,biscuits cookies crackers,branded food
ttrt french fries pp ,425g,frozen,frozen veg,branded food
 arrabiata pasta sauce ,400g,borges,sauces puree dips,branded food
cadbury nutties ,35g,chocolate,chocolates cakes confectioneries,branded food
 chocolate milk ,1l,almond fresh,chocolates cakes confectioneries,branded food
 ext light olive bt ,1l,borges,edible oil ghee,grocery
 talc icy cool ice ,150g,boro plus,soft drinks,beverages
 frt juice alphonso aam ,1l,paper boat,fruit juices drinks,beverages
 tetley green super boost bx ,30p,tata tea,tea coffee,beverages
 choc dm butterscotch crunch ,38g,cadbury,chocolates cakes confectioneries,branded food
 cookies cake choco bx ,205g,pillsbury,baking dessert mixes,branded food
ambipur car jasmine refill ,7ml,,freshners repellents,home hygiene
ambipur car vanilla bouquet refill ,7ml,,freshners repellents,home hygiene
 soup italian mushroom ,48g,knorr,ready to eat,branded food
 readymix kitchen king ,100g,ashok,mineral water soda,beverages
 diaper medium ,10p,pampers,baby care,baby care
 dry fruit apricots ,100g,karmiq,fun drink mix,beverages
 olive pomace jr ,5l,karmiq,edible oil ghee,grocery
 jam mixed fruit ,200g,kissan,jams spreads honey,branded food
tilda wandaful bsmti rice pp ,1kg,premium,noodles pastas vermicelli,branded food
 56005 fruity rhythm deo ,150ml,adidas,deos perfumes,beauty personal care
bauli moonfils cake ,45g,chocolate,chocolates cakes confectioneries,branded food
 ob comb skin ,120ml,lacto calamine,hair care,beauty personal care
scotchbrite steel scrubber pack of 3,,,utensil cleaners,home hygiene
 bri utensl srb mop sml,,3m scotch,stationery,toys stationery
 flawle white viible lihtenin day cream ,50 g,pond s,skin care,beauty personal care
 sweat free sunblok ltn spf4 ,0 125g,vlcc,skin care,beauty personal care
 sprd mayonnaise 250m,,remia,jams spreads honey,branded food
 soap natural creme ,3*125g,venus,skin care,beauty personal care
 ni namk mini bhakarwadi ,170g,chheda s,toys,toys stationery
 san pad side walls xlarge pp ,6p,sofy,feminine care,beauty personal care
 cfl esntl cool day light b22 15w,,philips,skin care,beauty personal care
 maida kulcha,,britannia,biscuits cookies crackers,branded food
 butter lovers micro wave pop corn ,33g,act ii,chips namkeens snacks,branded food
 nutri choice digestive zero biscuit ,100g,britannia,biscuits cookies crackers,branded food
ph cardamom jar ,90g,green brrew,jams spreads honey,branded food
 froz snack aloo tikki ,160g,mccain,frozen veg,branded food
 yipe ndl magic msl pp 420g,360g,sunfeast,biscuits cookies crackers,branded food
 deo mischief avatar spray ,150ml,set wet,deos perfumes,beauty personal care
 juice valencia orange bt ,1l,raw pressery,fruit juices drinks,beverages
 asst comb pack of 3,,ts,cleaning accessories,home hygiene
londonderry candy bnbn milk&caraml ,277g,parle,biscuits cookies crackers,branded food
milano dark filling ,75g,chocolate,chocolates cakes confectioneries,branded food
 lemon juice ,250ml,fresh & pure,fruit juices drinks,beverages
real active mix juice ,1l,fruit,fruit juices drinks,beverages
 10 tant coffee 100g,0% ins,fresh & pure,skin care,beauty personal care
 crm dbl chocolt ,1l,london dairy,ice cream desserts,branded food
 juice bread gift pack box nepal ,2*1l,real,fruit juices drinks,beverages
 juice pineapple ,200ml,real,fruit juices drinks,beverages
 tbrush super soft plus sens 2+1,,sach,toys,toys stationery
 talc moon drop ,400g,emami,chocolates cakes confectioneries,branded food
orea magic retouch sd 2 drk brwn,,l oreal paris,toys,toys stationery
 pow spice idli chilli pp ,100g,aachi,masala spices,grocery
 oats masala tangy chaat pp ,39g,saffola,breakfast cereals,branded food
 glucose-d jar ,450g,dabur,otc,beauty personal care
chocolat&fruibiscut,400g,karachi,chocolates cakes confectioneries,branded food
 mustard kachhi ghani jr,5l,kanodia,edible oil ghee,grocery
 whole wheat atta ,10kg,kanak,flours sooji,grocery
band aid washproof antiseptic ,10p,band-aid,hair care,beauty personal care
 leeks,,exo,home cleaning,home hygiene
athua,,b natural,fruit juices drinks,beverages
ratalu,,pratha,chocolates cakes confectioneries,branded food
smooth gourd,,good look,freshners repellents,home hygiene
 sinduri,,three mango,pickles chutneys,branded food
 capers bottle ,100g,olicoop,otc,beauty personal care
sofresh bk muffins ,,chocolate,chocolates cakes confectioneries,branded food
 swt gulab jamun tin ,1kg,haldiram mopleez,chocolates cakes confectioneries,branded food
 soap sandal ,75g,moti,skin care,beauty personal care
 chewypeppermint pot bt ,80.85g,doublemint,chocolates cakes confectioneries,branded food
 snack sauce ,1kg,tasty treat,sauces puree dips,branded food
 soy + green chilly 190g+vinegar ,200g,tasty treat,frozen veg,branded food
 utensl bar ,500g,odopic,chocolates cakes confectioneries,branded food
 cheese goat log natural ,100g,el pastor,frozen veg,branded food
 chicken frankfurters ,300g,sumeru,frozen veg,branded food
 pow spice garam ,100g,ashok,masala spices,grocery
 candy white xylit bt 24,27.5g,happydent,chocolates cakes confectioneries,branded food
 ,1.5l,mirinda,chocolates cakes confectioneries,branded food
 moms magic cashew& almond ,66g,sunfeast,biscuits cookies crackers,branded food
 fusion orange pineapple ,200ml,roohafza,fun drink mix,beverages
gh prime little millet pp ,500g,,stationery,toys stationery
gh prime chana pp ,500g,green brrew,frozen veg,branded food
 comb cellulose acetate no 43,,ts,toys,toys stationery
 crm mng srbt 100m,,london dairy,ice cream desserts,branded food
 crm beries crm bx ,100ml,london dairy,ice cream desserts,branded food
reg eggs ack,30 p,parle-g,biscuits cookies crackers,branded food
 oft drink pet bottle 500ml,7 up s,7 up,soft drinks,beverages
 thitry day pack asrtd r&s pp ,450g,karmiq,pooja needs,home hygiene
 walnut whole pp ,500g,karmiq,dry fruits,grocery
 soya milk natural ,1l,sofit,mineral water soda,beverages
 pnut btr honey roast creamy ,200g,sundrop,chocolates cakes confectioneries,branded food
 mukhwas apalam chapalam ,165g,mera swad,toys,toys stationery
chiko caramel eclairs ,750g,chocolate,chocolates cakes confectioneries,branded food
chiko royale cardamom caramel ,800g,chocolate,chocolates cakes confectioneries,branded food
 milk live lite pp ,180ml,mother dairy,chocolates cakes confectioneries,branded food
 coconut cookie pp ,200g,cremica,fruit juices drinks,beverages
 bsct ajwain cracker pp ,90g,cremica,masala spices,grocery
 handwash mild pp ,750ml,santoor,personal hygiene,beauty personal care
 air freshener citrus ,50g,clmt,freshners repellents,home hygiene
 strawberry sandwich cream biscuit ,120g,oreo,biscuits cookies crackers,branded food
 soap intl french rose ,3*65g,breeze,skin care,beauty personal care
 new smiles tangy tomato pp ,375g,mccain,frozen veg,branded food
 stunning black shine shampoo ,80 ml,sunsilk,hair care,beauty personal care
vi john shaving foam bt ,300g,vi-john,men toiletries,beauty personal care
 pomace olive bt ,500ml,leonardo,edible oil ghee,grocery
protinex tasty tin,250g,chocolate,health drinks,beverages
 mix bhuna masala makhani pp ,65g,maggi,noodles pastas vermicelli,branded food
vega flat brush rifb,,regular,hair care,beauty personal care
 men oil control fairne moiturizer ,20 g,pond s,skin care,beauty personal care
so choco hamper box ,18pcs,soo fresh,stationery,toys stationery
 soap glyc lakshd oil 4+ 25g,1 125g,medimix,skin care,beauty personal care
krachi bis osmania 500g,400g,karachi,toys,toys stationery
205 c mopking cotton,,gala,cleaning accessories,home hygiene
 cashew butter 75g,60g,unibic,biscuits cookies crackers,branded food
 shaving foam extra moisture 200m,,nivea,men toiletries,beauty personal care
 ms granola choco caramel pp ,215g,nesplus,breakfast cereals,branded food
 dw soap celebration 4+ 25g op,1 125g,fiama di wills,skin care,beauty personal care
 deo whitening talc touch cn ,150ml,nivea,deos perfumes,beauty personal care
 malai kulfi mix ,100g,blue bird,baking dessert mixes,branded food
 elicoidale pasta ,200g,blue bird,noodles pastas vermicelli,branded food
 namkeen chatpata dal ,200g,haldiram s,chips namkeens snacks,branded food
 namkeen kahmiri mixture ,200g,haldiram s,chips namkeens snacks,branded food
 hahi mixture namkeen ,200g,haldiram s,chips namkeens snacks,branded food
 butter cookies silver collection ,400g,sapphire,chocolates cakes confectioneries,branded food
 hairoil heena amla lmn 300m,,dabur vatika,toys,toys stationery
 kheer sabudana pp ,500g,ektaa,breakfast cereals,branded food
 nmkn methi puri pp ,200g,haldiram s,chips namkeens snacks,branded food
 soap rich moisture bx ,75g,baby dove,baby care,baby care
 cool fresh hand wash pack of 3 ,185 ml,lifebuoy,personal hygiene,beauty personal care
 total 10 activ naturol hand wash ,800 ml,lifebuoy,personal hygiene,beauty personal care
 provoke deodorant ,150 ml,axe,deos perfumes,beauty personal care
 pulse deodorant ,150 ml,axe,deos perfumes,beauty personal care
 new dry diapers small ,10 pcs,huggies,baby care,baby care
 tamarind ,200g,hommade,cooking paste,grocery
kw ic butterscotch cup ,90ml,3m scotch-brite,stationery,toys stationery
mystarpouchcurd,350g,,chocolates cakes confectioneries,branded food
hershesy chocolate raspberry & goji ,33.3g,brookside,health drinks,beverages
 pow spice coriander pp ,200g,everest,masala spices,grocery
 icecrm shahi meva mli tb ,1l,mother dairy,chips namkeens snacks,branded food
 mix pp ,200g,veg affaire,frozen veg,branded food
 sooji pp ,500g,pan brand,dry fruits,grocery
 mixed pickle ,400g,mother s recipe,pickles chutneys,branded food
 smal mustard rai jr ,140g,organic tattva,organic spices,grocery
 whole wheat atta pp ,5kg,organic tattva,organic pulses,grocery
 probiotic blueberry ,250ml,raw pressery,chips namkeens snacks,branded food
ec opp sanitary cube,,,feminine care,beauty personal care
 basic flat brush purple 8543,,ts,cleaning accessories,home hygiene
lindt hazelnut les grandes ,150g,chocolate,chocolates cakes confectioneries,branded food
 cheese smictankowy wapina ,140g,lactima,chips namkeens snacks,branded food
chings instant soup swt corn veg pp ,15g,,ready to eat,branded food
brijnandan namk palak matthi pp ,400g,,toys,toys stationery
 cfl ess 8w,,philips,personal care appliances,beauty personal care
pooof kettle cps thai swt chilli pp ,30g,pooof!,sauces puree dips,branded food
 cartrdg mach 3 turbo senstv ,2p,gillette,men toiletries,beauty personal care
healtht cold pressed til bt 500ml,1s,,edible oil ghee,grocery
 sauce taco hot bt ,283g,salsalito,sauces puree dips,branded food
 snk chili brod beans pp ,120g,tong garden,canned tinned food,branded food
 veg fryum sago pot chkli rc ,200g,arohi,toys,toys stationery
 wasabi coatd green peas ,180g,tong garden,frozen veg,branded food
 paushti k ,500 ml,prabhat,mineral water soda,beverages
embog cheese danish brie m,125g,fortune,frozen veg,branded food
 variety pack,,nature valley,chocolates cakes confectioneries,branded food
kw creme brulee ,750ml,,skin care,beauty personal care
 nectar mango ,1l,tropicana,fruit juices drinks,beverages
pabda whole,,head & shoulders,hair care,beauty personal care
seerfish fillet,,center fresh,chocolates cakes confectioneries,branded food
pangush fillet,,,chocolates cakes confectioneries,branded food
 sea salt & vinegar kale chip ,30g,the green snack co.,chips namkeens snacks,branded food
 desi pp ,1l,saras,edible oil ghee,grocery
 original barbeque sauce ,510g,american garden,sauces puree dips,branded food
 groundnut oiltp ,1l,dhara,frozen veg,branded food
 namkeen salted banana chip ,180g,mtr,chips namkeens snacks,branded food
 meal mutter paneer ,300g,mtr,ready to eat,branded food
 meal navratan korma ,300g,mtr,ready to eat,branded food
 rice sevai ,165g,mtr,noodles pastas vermicelli,branded food
garys walnut cake with egg,,chocolate,chocolates cakes confectioneries,branded food
hsy milkshk strawberry ,200 ml,,soft drinks,beverages
cream biscuit pineapple 4 ,,,fun drink mix,beverages
 kesar pista party pack,700 ml,kwality walls,ice cream desserts,branded food
 ic tape 3 4 x 32.9 mtrs w disp,3m mag,3m,stationery,toys stationery
 & cl fw morn eng lemon2+ 00ml op,1 100ml,clean mate,toys,toys stationery
 toilt clnr flushmatic sgl ,50g,harpic,home cleaning,home hygiene
 cornflakes mix ,500g,patanjali,masala spices,grocery
l- rajma kashmiri,,aashirvaad,flours sooji,grocery
 soap mixed fruit cream ,3*150g,vivel,skin care,beauty personal care
 energy can ,350ml,monster,soft drinks,beverages
 diapers dry small ,10p,huggies,baby care,baby care
 henna ,100g,vlcc,hair care,beauty personal care
 masala ae magic share bag 78g,72g,maggi,noodles pastas vermicelli,branded food
protinex tasty tin,400g,chocolate,health drinks,beverages
 fn chicken nuggets pp ,750g,delicious,ready to eat,branded food
baa flower,,food bazaar,masala spices,grocery
brinjal small ,,green brrew,home cleaning,home hygiene
 tomato,,cherry,sauces puree dips,branded food
 badaam,,three mango,pickles chutneys,branded food
bigger six grain stix cheesy jalapeno,,,jams spreads honey,branded food
 g sld drsng lit italn bt ,227g,american garden,jams spreads honey,branded food
 sauce oyster bt ,200ml,pantai,sauces puree dips,branded food
 perfume swt blossom women bt 18m,,engage,deos perfumes,beauty personal care
gh who badiyan ,25g,old spice,freshners repellents,home hygiene
gh rice basmati khichadi pp ,2kg,,organic grains,grocery
gh kurmura roasted ,500g,,mineral water soda,beverages
gh oth flour ragi ,500g,,flours sooji,grocery
gh seasoning paprika bt ,58g,,masala spices,grocery
 talc exotic ,400g,spinz,masala spices,grocery
sofrsh vd ge blueberry ,6p,galaxy,chocolates cakes confectioneries,branded food
bc khatta meetha ,400g,,chips namkeens snacks,branded food
 chand bikaneri spc bhujia ,200g,bhikharam chandmal,otc,beauty personal care
gh rice basmati dil khush ,5kg,,organic grains,grocery
 shrikhand kesar tub ,500g,amul,ice cream desserts,branded food
 butter school pk ,100g,amul,ice cream desserts,branded food
 garlic & herb butter m,100g,amul,frozen veg,branded food
gh basmati rice jar ,1kg,brown & polson,organic grains,grocery
gh sabudana ,500g,big sams,chocolates cakes confectioneries,branded food
 lactose free milk ,250ml,amul,ice cream desserts,branded food
fun sauce barbecue ,300g,hr foods,sauces puree dips,branded food
 talc alpine dew ,400g,emami,stationery,toys stationery
 act ckp sp tangy tomato pp ,53g,saffola,sauces puree dips,branded food
 maxi l wings ,8 pads,whisper,feminine care,beauty personal care
 sanitry pad ultra wgs xl ,2p,whisper,feminine care,beauty personal care
 cond ub royal jelly&lvnd bt ,75ml,garnier,skin care,beauty personal care
 dshw gel lemon +lemon 250ml,750ml,clmt,skin care,beauty personal care
 dog food natural flav pp ,450g,choostix,pet care,home hygiene
 spread mayonnaise lite ,500ml,remia,jams spreads honey,branded food
 clini 1 h soap bar 75 g,0 fres,lifebuoy,skin care,beauty personal care
 soap bar ,68 g,lifebuoy,skin care,beauty personal care
 cranberry juice ,1l,real,fruit juices drinks,beverages
 pomegranate juice ,1l,real,fruit juices drinks,beverages
 b tbrush pro hlth gum soft ,1p,oral-b,oral care,beauty personal care
 crm cookie & crm ,1l,london dairy,ice cream desserts,branded food
 book pack gift pack ,3*1l,real,fruit juices drinks,beverages
 fiery chilli ,280g,top ramen,noodles pastas vermicelli,branded food
 ndl curry ,70g,top ramen,noodles pastas vermicelli,branded food
layerr wotta girl obsession ,135ml,,toys,toys stationery
priya gold smiley cream biscuit ,500g,chocolate,biscuits cookies crackers,branded food
 andal radiance talc ,50 g,pond s,otc,beauty personal care
 scrub tan rmoval orange ,100g,himalaya,skin care,beauty personal care
 bread - multi rain m,400 g,g bakers,soft drinks,beverages
 masala papad ,100g,mtr,ready to fry,branded food
 simply ma soup ,250g,mtr,ready to eat,branded food
 spinach & carrot soup ,250g,mtr,ready to eat,branded food
 bar cake red velvet,,garys,chocolates cakes confectioneries,branded food
 gls 100w,,philips,personal care appliances,beauty personal care
 chocolate cappuccino ,100g,schogetten,chocolates cakes confectioneries,branded food
natures pishori pstachios jr ,100g,easy choice,toys,toys stationery
 cinnamon ,100g,mother earth,chips namkeens snacks,branded food
 ,500g,mother earth,salt sugar jaggery,grocery
ongs sauce teriyaki 210m,,,sauces puree dips,branded food
 choc dark cranberry ,80g,heidi,chocolates cakes confectioneries,branded food
 bag veda pro woman box ,30pcs,tata tea,tea coffee,beverages
 ni namk 2in tant combo 320g,1 ins,garden,chocolates cakes confectioneries,branded food
kw strawberry cheesecake,750ml,,chocolates cakes confectioneries,branded food
wfer biscuit waffy ,4*75g,,biscuits cookies crackers,branded food
 readymix chicken tikka barbeque ,50g,shan,frozen veg,branded food
 mix chicken ,50g,shan,ready to eat,branded food
 g sauce hot 88m,,american garden,sauces puree dips,branded food
sprouts channa ,,brown & polson,baking dessert mixes,branded food
pockchoy,,ty-phoo,toys,toys stationery
sofrsh vd bread pav ,6p,,otc,beauty personal care
 liquid red ,25 ml,sun,home cleaning,home hygiene
ttrt bourbon pp ,60g,chocolate,chocolates cakes confectioneries,branded food
 room frs gel rose dreams ,75g,odonil,freshners repellents,home hygiene
 candy crazy sours pp ,55g,skittles,baby food,baby care
malas orange crush ,1l,,fun drink mix,beverages
 spark red spice deo ,140ml,kamasutra,deos perfumes,beauty personal care
 deo whitening floral fusion ,150 ml,eva,freshners repellents,home hygiene
ttrt chinese noodle hakka ,800g,,noodles pastas vermicelli,branded food
 room frsh jasmine fresh ,200g,odonil,freshners repellents,home hygiene
 pow spice hing ,10g,mdh,masala spices,grocery
 pow spice deghi chilli ,100g,mdh,masala spices,grocery
 namk matar chana pp ,200g,tasty treat,frozen veg,branded food
ttrt soup thick tomato ,60g,,sauces puree dips,branded food
gh daily oth pulse matki whole ,500g,,baby care,baby care
gh daily rajma kashmiri big ,1kg,red bull,skin care,beauty personal care
bournvita tar magic drink jar 00g,5 s,health 1st,health drinks,beverages
gh pow red chilli pp ,100g,old spice,freshners repellents,home hygiene
gh who javetri ,50g,old spice,freshners repellents,home hygiene
 bread prime time burger,,bonn,stationery,toys stationery
 bread - suji toast ,300g,bonn,mineral water soda,beverages
bonn bun,,fruit,fruit juices drinks,beverages
gh prime who spice white til pp ,100g,mr.white,stationery,toys stationery
gh prime kodo millet pp ,500g,,baby food,baby care
gh prime chana mausami pp ,500g,,frozen veg,branded food
 pow spice coriander ,100g,sakthi,masala spices,grocery
 orange candy jar ,100g,tinkle,fun drink mix,beverages
 perfume sport body bt 122m,,axe signature,deos perfumes,beauty personal care
 air freshener ,4*75g,clean mate,freshners repellents,home hygiene
 fw white ,20g,ponds,skin care,beauty personal care
 gold cookies coconut crunch ,300g,priya,masala spices,grocery
 cartridge twin blade ,5p,gallant ii,freshners repellents,home hygiene
 ae miracle cell reen facial foam ,100 g,pond s,skin care,beauty personal care
 frz chicken spicy sausage ,250g,zorabian,ready to eat,branded food
 bis simply good dig classic ,100g,parle,biscuits cookies crackers,branded food
 toast crouton hrbd grl ,100g,baker street,toys,toys stationery
lemon honey kanti cleanser m,75 g,body line,skin care,beauty personal care
 readymix curry pp ,50g,aachi,masala spices,grocery
 chicken tikka ,50g,aachi,masala spices,grocery
 apple jeely cinnam 470,,bhuira,mineral water soda,beverages
 jam raspberry ,284g,st.dalfour,jams spreads honey,branded food
 act ck sp smering manchow pp ,46g,saffola,ready to eat,branded food
 cheese block ,200g,britannia,biscuits cookies crackers,branded food
