article_name,quantity,brand,function,type-flavour-colour,misc
patanjali soap rose kanti br 75g,75g,patanjali,skin care | beauty personal care,type:soap,"soap,rose"
nilons pickle stuffed red chilli 400g,400g,nilons,pickles chutneys | branded food,flavor:chilli flavor:pickle color:red,"pickle,stuffed,red,chilli"
parle bis rusk elaichi premium pp 300g,300g,premium,chocolates cakes confectioneries | branded food,flavor:elaichi type:elaichi flavor:rusk,"bis,rusk"
baker street toast garlic bread 100g,100g,baker street,sauces puree dips | branded food,flavor:bread flavor:garlic,"toast,garlic,bread"
real thai tom yum paste 50g,50g,real thai,noodles pastas vermicelli | branded food,,"tom,yum,pate"
cremica digestive 100g+100g free,100g,cremica,biscuits cookies crackers | branded food,,free
mother dairy butter 500g,500g,mother dairy,chocolates cakes confectioneries | branded food,flavor:butter,butter
everest readymix egg curry bx 50g,50g,everest,masala spices | grocery,flavor:egg flavor:curry,"egg,curry"
mother dairy dietz milk pp 500ml,500ml,mother dairy,chocolates cakes confectioneries | branded food,flavor:milk,"dietz,milk"
mera swad mukhwas shahi mix 100g,100g,mera swad,masala spices | grocery,flavor:shahi,mix
delmonte ext light olive oil 2l bt,2l,del monte,organic edible oil fats | grocery,color:light color:olive flavor:olive,"ext,light,olive"
desi atta co bajra atta pp 500g,500g,desi atta company,chocolates cakes confectioneries | branded food,flavor:bajra,
colgate tpaste cdc 100g,100g,colgate,oral care | beauty personal care,,cdc
haldirams tasty nuts namkeen 150g,150g,haldirams,chips namkeens snacks | branded food,flavor:namkeen flavor:tasty,"tasty,nuts"
lipton ice tea lemon flavour pet 350ml,350ml,lipton,tea coffee | beverages,flavor:lemon,"ice,lemon,flavour,pet"
lipton tea yellow label 500g,500g,lipton,tea coffee | beverages,color:yellow,"yellow,label"
yakult flavoured milk probiotic bt 5*65m,5*65m,yakult,chocolates cakes confectioneries | branded food,flavor:milk,"flavoured,milk"
yummiez frz snck dinoz veg nuggets 300g,300g,yummiez,toys | toys stationery,flavor:veg,"veg,nuggets"
yummiez chicken nuggets sf&jucy pp 500g,500g,yummiez,ready to eat | branded food,flavor:chicken,"chicken,nuggets"
beeta kitchen roll printed 350gm,350gm,beeta,stationery | toys stationery,,"kitchen,roll,printed"
olay sc natural white light uv glow 20g,20g,olay,skin care | beauty personal care,color:light color:glow color:white,"natural,white,light,glow"
eastern readymix chhole masala bx 100g,100g,eastern,masala spices | grocery,flavor:chhole,
mawana select white sugar cubes bx 570g,570g,mawana,salt sugar jaggery | grocery,color:white,"select,white,cubes"
224 mr.tall floor cleaner,224 m,gala,cleaning accessories | home hygiene,,"floor,cleaner"
ragu sauce traditional 397g,397g,ragu,sauces puree dips | branded food,flavor:sauce,"sauce,traditional"
sunfeast yippe ndl my madly mncrn pp 60g,60g,sunfeast,biscuits cookies crackers | branded food,,madly
koka ndl stir fry original flavor pp 85g,85g,koka,noodles pastas vermicelli | branded food,flavor:flavor,"stir,fry,original,flavor"
chheda ni namk moong dal 170g,170g,,chips namkeens snacks | branded food,flavor:dal flavor:moong,dal
tinkle cola candy jar 100g,100g,tinkle,jams spreads honey | branded food,flavor:candy,"cola,candy,jar"
clmt air freshener rose hang bx 50g,50g,clmt,freshners repellents | home hygiene,type:freshener,"air,freshener,rose,hang"
clmt glass cleaner bx 250ml,250ml,clmt,home cleaning | home hygiene,,"gla,cleaner"
dana jam strawberry 340g,340g,dana,jams spreads honey | branded food,flavor:strawberry,"jam,strawberry"
nandos sauce lemon&herb periper bt 250ml,250ml,nandos,sauces puree dips | branded food,flavor:sauce,sauce
priyagold bisc marie lite 600g,600g,priyagold,chips namkeens snacks | branded food,,"bic,marie,lite"
secret temptation deo mystery 150m,150m,secret temptation,deos perfumes | beauty personal care,,deo
nestle dahi slim 400g,400g,nestle,baby food | baby care,flavor:dahi,slim
nestle dahi jeera rait 185g,185g,nestle,breakfast cereals | branded food,flavor:jeera flavor:dahi,
pass pass mukhwas meetha magic 115g,115g,pass pass,baby care | baby care,,magic
pass pass mukhwas mint flavour 100g,100g,pass pass,chocolates cakes confectioneries | branded food,flavor:mint,"mint,flavour"
tresemme shmp spa rejuvenation 190m200m,190m,tresemme,hair care | beauty personal care,type:spa,"spa,rejuvenation"
delmonte tomato ketchup no onion no garlic 1kg,1kg,del monte,sauces puree dips | branded food,flavor:ketchup flavor:tomato flavor:garlic flavor:onion,"tomato,ketchup,onion,garlic"
pan brand maida pp 500g,500g,pan brand,jams spreads honey | branded food,flavor:maida,maida
dettol hw liq original pp 175ml,175ml,dettol,personal hygiene | beauty personal care,,original
sundrop penut salted poly pack 150g,150g,sundrop,pooja needs | home hygiene,,"poly,pack"
bedekar mixed pickle 200g,200g,bedekar,pickles chutneys | branded food,flavor:pickle,"mixed,pickle"
berries aloevera juice 1000 ml,1000 m,,skin care | beauty personal care,flavor:berries flavor:juice,"berries,juice"
vinut coconut water wth pulp tn 330ml,330ml,vinut,fruit juices drinks | beverages,flavor:coconut,"coconut,water,wth,pulp"
happydent comple xylitol sprmnt 27.5g,27.5g,happydent,chocolates cakes confectioneries | branded food,,
sunfeast glucose biscuit 250g,250g,sunfeast,biscuits cookies crackers | branded food,,
thins lime & black pepper rice wafers 100g,100g,thins,breakfast cereals | branded food,flavor:rice flavor:pepper color:black flavor:lime,"lime,black,pepper,rice,wafers"
kelloggs cornflakes almond & honey box 650g,650g,kelloggs,breakfast cereals | branded food,type:honey flavor:almond flavor:honey,"cornflakes,almond,honey,box"
dawat basmati super pp 1kg,1kg,super gummy,organic grains | grocery,flavor:basmati,basmati
haldiram namkee bhel puri 150g,150g,haldiram mopleez,chips namkeens snacks | branded food,flavor:puri flavor:bhel,puri
haldiram hara chiwda 200g,200g,haldiram mopleez,chocolates cakes confectioneries | branded food,,
haldiram si namk heeng jeera penut 200g,200g,haldirams,chips namkeens snacks | branded food,flavor:jeera,
novo egg free delightsa choco muffins,,novo,chocolates cakes confectioneries | branded food,flavor:egg flavor:choco flavor:muffins,"egg,free,muffins"
ile de france chees petit camembert 125g,125g,ile,toys | toys stationery,flavor:camembert,"france,petit,camembert"
desi atta co beetroot wheat atta pp 500g,500g,desi atta company,chocolates cakes confectioneries | branded food,flavor:wheat flavor:beetroot,"beetroot,wheat"
kellogs cornflake special k 290g,290g,,home cleaning | home hygiene,flavor:cornflake,"cornflake,special"
haldiram sweet patisa bx 400g,400g,haldirams,chips namkeens snacks | branded food,,
haldiram sweet & spicy 700g940g gp,700g,haldirams,chips namkeens snacks | branded food,flavor:spicy,"sweet,spicy"
sofresh bread pav,,sofresh,otc | beauty personal care,flavor:bread,"bread,pav"
doublemint chewy lemon pot bt 80.85g,80.85g,doublemint,chocolates cakes confectioneries | branded food,flavor:lemon flavor:chewy,"chewy,lemon,pot"
puretta 3 in 1 spill prf sipper 9oz 270m,1 spil,puretta,toys | toys stationery,,
puretta twin hndl straw sipper 8oz 250m,250m,puretta,toys | toys stationery,,twin
nivea body esntl aloe vera ltn bt 200ml,200ml,nivea,skin care | beauty personal care,flavor:aloe type:aloe,"body,aloe,vera"
hitkary liq con sh kl khatta fun bt 750m,750m,hitkary,toys | toys stationery,,"con,fun"
nivea lipcare watermelon shine 4.8g,4.8g,nivea,skin care | beauty personal care,flavor:watermelon,"lip,watermelon,shine"
britannia good day choconut cookies 75g,75g,britannia,biscuits cookies crackers | branded food,,"good,day"
mother earth cardamom 50g,50g,mother earth,chips namkeens snacks | branded food,flavor:cardamom,cardamom
mother earth clove 50g,50g,mother earth,chips namkeens snacks | branded food,flavor:clove,clove
mother earth coriander seeds 100g,100g,mother earth,masala spices | grocery,flavor:coriander flavor:seeds,"coriander,seeds"
heidi dark ginger 80g,80g,heidi,chocolates cakes confectioneries | branded food,flavor:ginger color:dark,"dark,ginger"
eva deo doll 125m,125m,eva,deos perfumes | beauty personal care,,"deo,doll"
ttrt wafer biscuit mango bx 75g,75g,three mango,biscuits cookies crackers | branded food,,wafer
mdh readymix shahi paneer 100g,100g,mdh,masala spices | grocery,flavor:paneer flavor:shahi,
tasty treat lime pickle 500g,500g,tasty treat,pickles chutneys | branded food,flavor:pickle flavor:lime,"lime,pickle"
ttrt frozen french fries pp 750g,750g,frozen,frozen veg | branded food,flavor:fries,"french,fries"
veeba sweet onion sauce 350g,350g,veeba,sauces puree dips | branded food,flavor:sauce flavor:onion,"sweet,onion,sauce"
himalaya shampoo anti hair fall 200m,200m,himalaya,hair care | beauty personal care,type:shampoo,"shampoo,anti,fall"
mtr desserts badam drink mix 500g,500g,mtr,fruit juices drinks | beverages,flavor:badam flavor:desserts,"desserts,drink,mix"
himalaya body ltn nourishing nrml 200m,200m,himalaya,skin care | beauty personal care,,body
himalaya fw purifying neem tube 15ml,15ml,himalaya,skin care | beauty personal care,type:neem,"purifying,tube"
scotchbrite antibac scrub pad pk3,,scotch brite,utensil cleaners | home hygiene,,pad
parachute body ltn deep nourish bt 100ml,100ml,parachute,skin care | beauty personal care,,"body,deep"
fogg deo black collection spicy 120m,120m,fogg,deos perfumes | beauty personal care,flavor:spicy color:black,"deo,black,collection,spicy"
easy maxx nail polish rd1 6ml,1 6ml,easy maxx,laundry | home hygiene,,nail
knorr soup shanghai hot & sour chicken 38g,38g,knorr,ready to eat | branded food,flavor:chicken flavor:soup color:hot,"soup,shanghai,hot,sour,chicken"
too yumm foxnuts wasabi pp 23g,23g,too yumm!,toys | toys stationery,flavor:wasabi,
ashok readymix chat 100g,100g,ashok,baking dessert mixes | branded food,,chat
kosh flour wheat oat atta pp 5kg,5kg,kosh,flours sooji | grocery,flavor:oat flavor:wheat flavor:flour,"flour,wheat,oat,atta"
nissin noodles spiced chicken cup 70g,70g,nissin,noodles pastas vermicelli | branded food,flavor:chicken,"spiced,chicken,cup"
sunkist apple juice 1l,1l,sunkist,fruit juices drinks | beverages,flavor:juice flavor:apple,"apple,juice"
b natural juice 1*1 l + 4*200ml gift pack,1*1 l,b natural,fruit juices drinks | beverages,flavor:juice,"juice,gift,pack"
weikfield pasta fusilli pp 500g,500g,weikfield,noodles pastas vermicelli | branded food,flavor:fusilli flavor:pasta,pasta
b natural juice jamun joy tp 200ml,200ml,b natural,fruit juices drinks | beverages,flavor:jamun flavor:juice,"juice,joy"
lurpak butter salted lurpak 200g,200g,lurpak,chips namkeens snacks | branded food,flavor:butter,"butter,salted"
sarveshwar basmati rice ultra xl 5kg,5kg,sarveshwar,organic grains | grocery,flavor:rice flavor:basmati,"basmati,rice,ultra"
tops sauce red chili bt 650g,650g,tops,sauces puree dips | branded food,flavor:chili color:red flavor:sauce,"sauce,red,chili"
goodknight advanced activ cartridge*2,,good knight,freshners repellents | home hygiene,,advanced
savlon hw herbal sensitive pp 800ml,800ml,savlon,otc | beauty personal care,type:herbal,"herbal,sensitive"
unibic clt mg choc coated snk bar,,unibic,biscuits cookies crackers | branded food,,"choc,coated,bar"
sunfeast crm bisc bounce pineapple 50g,50g,sunfeast,biscuits cookies crackers | branded food,flavor:pineapple,"bounce,pineapple"
gits dessert jalebi maker mix 100g,100g,gits,baking dessert mixes | branded food,flavor:jalebi,"maker,mix"
odonil room frs gel citrus spice 75g,75g,odonil,freshners repellents | home hygiene,type:gel flavor:citrus,"room,frs,gel,citrus,spice"
tasty treat litchi juice 2l,2l,tasty treat,fruit juices drinks | beverages,flavor:juice flavor:litchi,juice
mdh pow spice coriander 100g,100g,mdh,masala spices | grocery,flavor:coriander,"pow,spice,coriander"
mdh readymix chana 100g,100g,mdh,masala spices | grocery,flavor:chana,
trust natural sugar pp 1kg,1kg,trust,salt sugar jaggery | grocery,,natural
tasty treat peri peri bhujia 150g,150g,tasty treat,frozen veg | branded food,,"peri,peri"
tasty treat bhujia sev 1kg,1kg,tasty treat,frozen veg | branded food,,
parle candy eclairs 2 in 1 277g,1 277g,parle,biscuits cookies crackers | branded food,flavor:candy flavor:eclairs,candy
baker street toast crouton paprika 100g,100g,baker street,toys | toys stationery,flavor:crouton flavor:paprika,"toast,paprika"
free1000mlsipperjar with nestea lmn 500,1000ml,nestea,toys | toys stationery,,500
american g can veg blk olive whole 450g,450g,american garden,jams spreads honey | branded food,flavor:veg color:olive flavor:olive,"veg,olive,whole"
american g sld drsng dr italian 227g,227g,american garden,jams spreads honey | branded food,,italian
saffola oat masala pongal surpris 39g,39g,saffola,masala spices | grocery,flavor:oat flavor:pongal,oat
pedigree adult chicken & veg 400g,400g,pedigree,pet care | home hygiene,flavor:chicken flavor:veg,"adult,chicken,veg"
pepsodent fighter toothbrush soft 1 pc,1 p,pepsodent,oral care | beauty personal care,type:toothbrush,"fighter,toothbrush,soft"
waghbakri good morning green tea ginger 22g,22g,wagh bakri,tea coffee | beverages,flavor:ginger color:green,"good,morning,green,ginger"
amul kool milk kesar btl 200m,200m,amul,ice cream desserts | branded food,flavor:kesar flavor:milk,milk
amul masti dahi cup 100g,100g,amul,ice cream desserts | branded food,flavor:dahi,cup
gh who spice byadgi chilli 200g,200g,old spice,freshners repellents | home hygiene,flavor:chilli,chilli
waghbakri tea good morning tea 500g,500g,wagh bakri,tea coffee | beverages,,"good,morning"
sunfeast marie light oats biscuit 120g,120g,sunfeast,biscuits cookies crackers | branded food,color:light flavor:oats,"marie,light,oats,biscuit"
glucon d original 200g,200g,glucond,chocolates cakes confectioneries | branded food,,original
rostaa cranberries pp 200g,200g,rostaa,breakfast cereals | branded food,flavor:cranberries,cranberries
mera swad mukhwas anardana goli 210g,210g,mera swad,baking dessert mixes | branded food,,
mera swad mukhwas manchali imali 120g,120g,mera swad,toys | toys stationery,,
cremica imli chataka sauce 500g,500g,cremica,sauces puree dips | branded food,flavor:sauce,sauce
inox muchos salsa mexicana nachos with dip 50g + 15g,50g,inox muchos,chocolates cakes confectioneries | branded food,flavor:mexicana flavor:salsa,"salsa,nachos,dip"
mother dairy yoghurt fruit raspbery 100g,100g,mother dairy,chocolates cakes confectioneries | branded food,flavor:fruit flavor:yoghurt type:yoghurt,"yoghurt,fruit"
mother dairy cow milk pp 500ml,500ml,mother dairy,chocolates cakes confectioneries | branded food,flavor:milk,"cow,milk"
danone dahi greek style cup 400g,400g,danone,toys | toys stationery,flavor:dahi,"greek,style,cup"
f&p ginger paste pp 200g,200g,,cooking paste | grocery,flavor:ginger,ginger
24 letter mantra little millet bx 500g,24 l,24 mantra,organic grains | grocery,,
raw press juice pineapple ginger bt 250m,250m,,fruit juices drinks | beverages,flavor:ginger flavor:pineapple flavor:juice,"raw,press,juice,pineapple,ginger"
venkys nonveg snk chkn popcorn 300g,300g,venkys,chocolates cakes confectioneries | branded food,,popcorn
mpm egg country duck 6p,6p,mpm egg,mineral water soda | beverages,,"country,duck"
parachute hair oil aloe vera bt 150ml,150ml,parachute,hair care | beauty personal care,flavor:aloe type:aloe,"oil,aloe,vera"
gh who spice sabja 100g,100g,old spice,freshners repellents | home hygiene,,
gh jaggery round 500g,500g,golden harvest,masala spices | grocery,flavor:jaggery,round
bikano khatta meetha namkeen 200g,200g,bikano,chips namkeens snacks | branded food,flavor:namkeen,
cadbury celebrations chocolate box 180.8g,180.8g,celebrations,chocolates cakes confectioneries | branded food,flavor:chocolate type:chocolate,"cadbury,chocolate,box"
knorr mix chinese noodles fried rice 30g,30g,knorr,ready to eat | branded food,flavor:rice flavor:noodles flavor:fried,"mix,chinese,noodles,fried,rice"
complan classic chocolate health drink 750g,750g,chocolate,health drinks | beverages,,drink
bonn bread prime time brown,,bonn,frozen veg | branded food,flavor:bread color:brown,"bread,prime,time,brown"
gh prime who spice bg clove 50g,50g,old spice,freshners repellents | home hygiene,flavor:clove,"prime,clove"
gh prime who spice cinamon 50g,50g,old spice,freshners repellents | home hygiene,,prime
gh prime who spice coriandr 100g,100g,old spice,freshners repellents | home hygiene,,prime
gh prime who spice garam masala pp 100g,100g,old spice,frozen veg | branded food,,"prime,garam"
gh prime rajma chtra pp 1kg,1kg,golden harvest,frozen veg | branded food,flavor:rajma,prime
lindt chocolate milk raisin 100g,100g,chocolate,chocolates cakes confectioneries | branded food,flavor:milk flavor:raisin,"milk,raisin"
tofu paneer gold soya 200g,200g,tofu,ready to eat | branded food,flavor:soya flavor:paneer,"gold,soya"
garden pepper banana chips 110g,110g,garden,chips namkeens snacks | branded food,flavor:pepper flavor:banana,"pepper,banana"
parachute hair crm mens anti hrfall 100g,100g,parachute,hair care | beauty personal care,,"men,anti"
scotch bri utensl srb mop sml,,3m scotch,stationery | toys stationery,,"bri,mop"
fogg deo dynamic cn 120ml,120ml,fogg,deos perfumes | beauty personal care,,"deo,dynamic"
huggies baby diaper dry medium 30p32p,30p32p,huggies,baby care | baby care,type:diaper,"diaper,dry,medium"
vivel soap glycrn pure almd ol 3*100g op,3*100g,vivel,skin care | beauty personal care,type:soap,"soap,pure"
axe blast deodorant 150 ml,150 ml,axe,deos perfumes | beauty personal care,type:deodorant,"blast,deodorant"
axe signature dark temptation cologne talc 100 g,100 g,axe signature,deos perfumes | beauty personal care,type:talc color:dark,"dark,temptation,talc"
gh who spice coconut 200g,200g,old spice,freshners repellents | home hygiene,flavor:coconut,coconut
amul kool koko chocolate milk can 180ml,180ml,chocolate,chocolates cakes confectioneries | branded food,flavor:milk,"koko,milk"
sapota round,,pan brand,jams spreads honey | branded food,flavor:sapota,round
carrot red,,dabur red,otc | beauty personal care,flavor:carrot,carrot
mango alphanso,,three mango,pickles chutneys | branded food,,
litchi,,linc,fun drink mix | beverages,flavor:litchi,
exo cucumber mini,,exo,chocolates cakes confectioneries | branded food,flavor:cucumber,"cucumber,mini"
mutton kabab,,abbott,chocolates cakes confectioneries | branded food,flavor:kabab flavor:mutton,mutton
genteel det liquid 1+1 op 1l,1+1 op,godrej,personal hygiene | beauty personal care,,"genteel,det,liquid"
cremica veg mayonnaise 275g,275g,cremica,jams spreads honey | branded food,type:mayonnaise flavor:veg flavor:mayonnaise,"veg,mayonnaise"
mother dry dahi 200g,200g,mother dairy,chocolates cakes confectioneries | branded food,flavor:dahi,dry
mother dairy chillz chocotreat 75 ml,75 ml,mother dairy,chocolates cakes confectioneries | branded food,,
triveni eggs white master 6p,6p,triveni,baby care | baby care,flavor:eggs color:white,"eggs,white,master"
fevikwik sm pack 3 gm,3 gm,fevi kwik,stationery | toys stationery,,pack
santoor hw essential oils pp 180ml,180ml,santoor,skin care | beauty personal care,type:oils,"essential,oils"
catch readymix chana masala bx 100g,100g,catch,masala spices | grocery,flavor:chana,
bingo wfr mad agl masala madness pp 90g,90g,bingo,chips namkeens snacks | branded food,,mad
parle bis bake smith eng marie pp 300g,300g,bake smith,chocolates cakes confectioneries | branded food,,"eng,marie"
horlicks mother health drink 450g,450g,horlicks,health drinks | beverages,,"mother,drink"
horlicks junior 123 chocolate health drink 500g,500g,chocolate,health drinks | beverages,,"junior,123,drink"
chings secret sweet corn soup 55g,55g,chings secret,ready to eat | branded food,flavor:soup flavor:corn,"sweet,corn,soup"
rasna utsav nimbu pani fruit concentrate 2*32g,2*32g,rasna,fun drink mix | beverages,flavor:nimbu flavor:fruit,"fruit,concentrate"
prim clnr frdg & mcrwv clean wipe 40n,,prim,toys | toys stationery,color:clean,"clean,wipe"
arla mozzarella cheese slice 150g,150g,arla,sauces puree dips | branded food,flavor:mozzarella flavor:cheese,"mozzarella,cheese,slice"
dizzle madrasi saunf mukhwas 100g,100g,dizzle,masala spices | grocery,,
yummiez snk aloo tikki pp 400g,400g,yummiez,frozen veg | branded food,flavor:aloo,
eastern pow kashmiri chilli pp 100g,100g,eastern,masala spices | grocery,flavor:chilli,"pow,kashmiri,chilli"
gemini soyabean oil pp 1l,1l,gemini,edible oil ghee | grocery,flavor:soyabean,soyabean
fun foods dessert topping chocolate 300g,300g,chocolate,chocolates cakes confectioneries | branded food,flavor:dessert,"fun,dessert,topping"
saffola total saff & ricebran oil jr 2l,2l,saffola,edible oil ghee | grocery,,"total,aff"
stayfree san pad advanced ult xl 7p,7p,stayfree,feminine care | beauty personal care,,"pad,advanced"
zandu balm 8g,8g,zandu,chocolates cakes confectioneries | branded food,,balm
aachi readymix chaat masala bx 50g,50g,aachi,masala spices | grocery,flavor:chaat,
garnier fc white complete scrub 50g,50g,garnier,skin care | beauty personal care,color:white,"white,complete,scrub"
gh urad gundu premium 2k,,premium,chocolates cakes confectioneries | branded food,flavor:urad,
dizzle shahi mix mukhwas 100g,100g,dizzle,masala spices | grocery,flavor:shahi,mix
bedekar garlic lahsun chutney 100g,100g,bedekar,jams spreads honey | branded food,flavor:chutney flavor:garlic,"garlic,chutney"
yummiez chick salami chilli 250g pack,250g p,yummiez,frozen veg | branded food,flavor:chilli flavor:salami,"chick,salami,chilli,ack"
ramdev pow spice turmeric 200g,200g,ramdev,skin care | beauty personal care,flavor:turmeric,"pow,spice,turmeric"
maaza frt juice gold bx 1l,1l,maaza,fruit juices drinks | beverages,flavor:juice,"juice,gold"
mosambai aloevera juice 300 ml,300 ml,,fruit juices drinks | beverages,flavor:juice,juice
vaseline lipcare aloe lip10g,10g,vaseline,skin care | beauty personal care,flavor:aloe type:aloe,"lip,aloe,lip"
britannia bourbon biscuit 4+1 120g,1 120g,britannia,biscuits cookies crackers | branded food,,bourbon
britannia cheese sprd asli pepper 180g,180g,britannia,biscuits cookies crackers | branded food,flavor:pepper flavor:cheese,"cheese,pepper"
britannia pav,,britannia,biscuits cookies crackers | branded food,,pav
ponds fc clear pimpl herbal clay&nm 100g,100g,clear,skin care | beauty personal care,type:herbal,"ponds,herbal"
puretta anticolic silicone nipple f 2pk,2p,puretta,mineral water soda | beverages,,nipple
glucovita bolts strawberry 18g,18g,glucovita,fun drink mix | beverages,flavor:strawberry,"bolts,strawberry"
crmt silver lami pp med round 25n19.5cm,19.5cm,,toys | toys stationery,color:silver,"silver,med,round"
catch readymix paneer bx 100g,100g,catch,masala spices | grocery,flavor:paneer,
rooh afza sharbat 750ml,750ml,roohafza,otc | beauty personal care,,
amrutanjan joint muscle spray 30g,30g,amrutanjan,otc | beauty personal care,,"joint,pray"
gh prime who spice mrch whole pp 50g,50g,old spice,frozen veg | branded food,,"prime,whole"
gh prime barnyard millet pp 500g,500g,golden harvest,frozen veg | branded food,flavor:millet,"prime,barnyard,millet"
gh prime chana dal pp 1kg,1kg,golden harvest,frozen veg | branded food,flavor:chana flavor:dal,"prime,dal"
mtr readymeal chana masala 300g,300g,mtr,masala spices | grocery,flavor:chana,
"mtr uttapam mix, 500g",500g,mtr,masala spices | grocery,,
himalaya fw fairness kesar 50ml,50ml,himalaya,otc | beauty personal care,flavor:kesar,fairness
roopak readymix chicken 100g,100g,,ready to eat | branded food,flavor:chicken,"mix,chicken"
roopak readymix kala chat msl 100g,100g,,frozen veg | branded food,,"kala,chat"
roopak readymix pudina prantha 100g,100g,,chocolates cakes confectioneries | branded food,flavor:pudina,
roopak pow spice red chilli flakes 60g,60g,old spice,freshners repellents | home hygiene,flavor:chilli color:red,"pow,red,chilli,flakes"
rasna orange squash 700ml,700ml,rasna,fun drink mix | beverages,flavor:orange flavor:squash color:orange,"orange,squash"
fruit n nut 500ml 50,500ml,fruit,chocolates cakes confectioneries | branded food,,nut
rasna kool lime fruit concentrate 500g,500g,rasna,fun drink mix | beverages,flavor:fruit flavor:lime,"lime,fruit,concentrate"
rasna glucose d original 1+1 500g,1 500g,rasna,chocolates cakes confectioneries | branded food,,original
brijnandan namk chana white pp 180g,180g,mr.white,chips namkeens snacks | branded food,flavor:chana color:white,white
brijnandan namk soya sticks pp 200g,200g,,toys | toys stationery,flavor:soya,"soya,sticks"
brijnandan ni namk diet stick chip 180g,180g,diet,organic flours | grocery,,"tick,chip"
trishul phenyl black 1l,1l,trishul,mineral water soda | beverages,color:black,"phenyl,black"
fun foods cakemix brownie 250g,250g,funfoods,jams spreads honey | branded food,,"fun,brownie"
chefs basket pasta crmy tomato cup 215g,215g,chefs basket,sauces puree dips | branded food,flavor:tomato flavor:pasta,"pasta,tomato,cup"
pineapple cake,,axe signature,deos perfumes | beauty personal care,flavor:pineapple,"pineapple,cake"
mother earth fennel seeds 100g,100g,mother earth,chips namkeens snacks | branded food,flavor:seeds flavor:fennel,"fennel,seeds"
heidi choco dark extreme br 80g,80g,heidi,chocolates cakes confectioneries | branded food,color:dark flavor:choco,"dark,extreme"
heidi choco pure creamy white br 80g,80g,heidi,jams spreads honey | branded food,flavor:creamy flavor:choco color:white,"pure,creamy,white"
jalaram khakhra mobile methi 180g,180g,jalaram foods,noodles pastas vermicelli | branded food,flavor:methi,mobile
jalaram khakhra mobile punjabi 180g,180g,jalaram foods,noodles pastas vermicelli | branded food,,"mobile,punjabi"
"lakme 9 to 5 primer + matte lip color, mb1 coffee command, 3.6 g",5 prim,lakme,skin care | beauty personal care,color:matte,"matte,lip,coffee,3.6"
joy fw pure neem 100m,100m,joy,mineral water soda | beverages,type:neem,pure
suhana chakli bhajni pp 500g,500g,suhana ,toys | toys stationery,,
sunfeast strawberry & vanilla cream biscuit 60g,60g,sunfeast,biscuits cookies crackers | branded food,flavor:vanilla flavor:cream type:cream flavor:strawberry,"strawberry,vanilla,cream,biscuit"
sunfeast yippe chinese masala noodles 75g,75g,sunfeast,noodles pastas vermicelli | branded food,,
set wet hairgel wet look 100m,100m,set wet,toys | toys stationery,,look
glucon d original jar 200g,200g,glucond,jams spreads honey | branded food,,"original,jar"
ragu sauce 7 herb tomato 680.4g,680.4g,ragu,sauces puree dips | branded food,flavor:tomato flavor:sauce flavor:herb,"sauce,herb,tomato"
sunfest biscuits farmlite oats & raisin box 150g,150g,,breakfast cereals | branded food,flavor:oats flavor:raisin,"biscuits,oats,raisin,box"
rostaa cashew salted pp 200g,200g,rostaa,chips namkeens snacks | branded food,flavor:cashew,"cashew,salted"
nilons garlic paste 1+1 100g,1 100g,nilons,cooking paste | grocery,flavor:garlic,garlic
baker street mixed fruit cake 30g,30g,baker street,soft drinks | beverages,flavor:fruit,"mixed,fruit,cake"
parle hide & seek choco chip cookies 120g,120g,parle,biscuits cookies crackers | branded food,flavor:choco,"hide,seek,chip"
parle candy kismi gold poly pack 342g,342g,parle,biscuits cookies crackers | branded food,flavor:candy,"candy,gold,poly,pack"
nilons pickle sw lm pick 500g,500g,nilons,pickles chutneys | branded food,flavor:pickle,"pickle,pick"
kinder joy chocolate for girls 20g,20g,kinder joy,chocolates cakes confectioneries | branded food,flavor:chocolate type:chocolate,"chocolate,girls"
pampers baby diaper active baby sml 46p,46p,pampers,baby care | baby care,type:diaper,"diaper,active,sml"
deepak black phenyle,,deepak,home cleaning | home hygiene,color:black,black
pan brand besan pp 1kg,1kg,pan brand,chocolates cakes confectioneries | branded food,flavor:besan,
chings secret manchurian sauce 62g,62g,chings secret,sauces puree dips | branded food,flavor:sauce,"manchurian,sauce"
brijnandan silky ladoo 12 pcs,12 pcs,,baby care | baby care,flavor:ladoo,silky
mamy poko pants baby diaper xxl 12pc,12p,mamypoko,baby care | baby care,type:pants type:xxl type:diaper,"pants,diaper"
royal mirage b sp lavndr 200m,200m,royal mirage,chocolates cakes confectioneries | branded food,,
wipro det liq safewash neem bt 400g,400g,wipro safewash,otc | beauty personal care,type:neem,det
rasna utsav shahi gulab fruit concentrate 32 glasses,32 gl,rasna,breakfast cereals | branded food,flavor:fruit flavor:gulab flavor:shahi,"fruit,concentrate,asses"
catch readymix dalmakhani bx 100g,100g,catch,masala spices | grocery,,
catch dahi masala sprinklers bt 50g,50g,catch,masala spices | grocery,flavor:dahi,sprinklers
catch salt table bt 200g,200g,catch,masala spices | grocery,,"alt,table"
pagro american corn 500gm,500gm,pagro,breakfast cereals | branded food,flavor:corn,"american,corn"
pagro mix veg 500 gm pouch,500 gm,pagro,masala spices | grocery,flavor:veg type:pouch,"mix,veg,pouch"
disney crmt baby wipes aloe vera 30p,30p,baby,baby care | baby care,flavor:aloe type:aloe,"disney,wipes,aloe,vera"
