cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
 tmp bdy ltn intn noursh bt ,300ml,swiss tempelle,chocolates cakes confectioneries,branded food,, tmp bdy ltn intn noursh bt ,['tmp']
sangis ktcn eggless mayonnaise pp ,800g,,jams spreads honey,branded food,mayonnaise eggless,sangis ktcn pp ,[]
 garam mla whole pp ,100g,sangi s kitchen,chocolates cakes confectioneries,branded food,, garam mla whole pp ,"['garam', 'mla', 'whole']"
 dw shower gel blkcrn&brb exdr 250m,,fiama di wills,skin care,beauty personal care,, dw shower gel blkcrn&brb exdr 250m,"['shower', 'gel']"
mapro fruity chew ,200g,chocolate,chocolates cakes confectioneries,branded food,fruity,mapro chew ,['chew']
 oth disp cfl tornado 20w,,philips,toys,toys stationery,, oth disp cfl tornado 20w,"['oth', 'tornado']"
 ipc tomato chilli ,59g,act ii,chips namkeens snacks,branded food,chilli tomato, ipc ,['ipc']
 cheese sprd classic ,180g,britannia,biscuits cookies crackers,branded food,cheese, sprd classic ,['classic']
orange imported,,mortein,tea coffee,beverages,orange, imported,['imported']
bhindi,,heidi,chocolates cakes confectioneries,branded food,bhindi,,[]
 herbal mehandi m,100g,patanjali,baby care,baby care,, herbal mehandi m,['herbal']
 aloevera orange juice ,1l,patanjali,fruit juices drinks,beverages,orange juice, aloevera ,[]
 instant ,50g,bru,tea coffee,beverages,, instant ,['instant']
loreal cond nourish scalp bt 175ml,6oil,,skin care,beauty personal care,,loreal cond nourish scalp bt 175ml,"['nourish', 'scalp']"
 sanpad ultra nights xxxl wing ,3p,whisper,feminine care,beauty personal care,, sanpad ultra nights xxxl wing ,"['ultra', 'nights', 'wing']"
 tomato chutney ,470g,bhuira,sauces puree dips,branded food,chutney tomato, ,[]
 chicken&vegatable adult poly pack ,100g,pedigree,pet care,home hygiene,, chicken&vegatable adult poly pack ,"['adult', 'poly', 'pack']"
 food chk in jelly ,400g,pedigree,pet care,home hygiene,jelly, food chk in ,['food']
 food gravy style ,100g,pedigree,pet care,home hygiene,gravy, food style ,"['food', 'style']"
 fw powerwhite dbl action men ,50g,garnier,skin care,beauty personal care,, fw powerwhite dbl action men ,"['action', 'men']"
dermicool talc lavender ,150g,,stationery,toys stationery,lavender,dermicool talc ,['talc']
 cooker vanilla cake mx bx ,175g,weikfield,chocolates cakes confectioneries,branded food,vanilla, cooker cake mx bx ,"['cooker', 'cake']"
mishrambhu liq conc ros 700m,,sharbat e shahi,otc,beauty personal care,,mishrambhu liq conc ros 700m,"['conc', 'ros']"
 cooker choco cake mix bx ,175g,weikfield,baking dessert mixes,branded food,choco, cooker cake mix bx ,"['cooker', 'cake', 'mix']"
 juice guava gush tp ,200ml,b natural,fruit juices drinks,beverages,juice guava, gush tp ,['gush']
 juice mojito bt ,750ml,sunkist,fruit juices drinks,beverages,mojito juice, bt ,[]
 dessertmix jelly orange ,90g,weikfield,tea coffee,beverages,orange jelly, dessertmix ,[]
ttrt nachos creamy cheese & herbs pp ,60g,,chips namkeens snacks,branded food,creamy herbs cheese,ttrt nachos & pp ,['nachos']
 sportz fitness deo - bounce ,125ml,eva,deos perfumes,beauty personal care,, sportz fitness deo - bounce ,"['fitness', 'deo', 'bounce']"
ttrt surprises p,945g g,namkeen tree,chocolates cakes confectioneries,branded food,,ttrt surprises p,['surprises']
j&j oil vitamin e ,100ml,baby,baby care,baby care,,j&j oil vitamin e ,"['oil', 'vitamin']"
orbit gum sweetmint ,8.8g,sugar free,salt sugar jaggery,grocery,,orbit gum sweetmint ,"['orbit', 'gum']"
 roasted sooji rava pp ,500g,desi atta company,dry fruits,grocery,sooji rava roasted, pp ,[]
 tpaste active salt neem bx ,100g,colgate,oral care,beauty personal care,, tpaste active salt neem bx ,"['active', 'salt']"
 inner glow gentle exfoliating face wash cleanser ,50 ml,dove,skin care,beauty personal care,glow, inner gentle exfoliating face wash cleanser ,"['inner', 'gentle', 'face', 'wash', 'cleanser']"
 readymix pani puri bx ,50g,badshah,chips namkeens snacks,branded food,puri, readymix pani bx ,[]
monginis cake veg pp ,100g,chocolate,chocolates cakes confectioneries,branded food,veg,monginis cake pp ,['cake']
" cooker cake mix, vanilla ",100g,weikfield,baking dessert mixes,branded food,vanilla," cooker cake mix, ","['cooker', 'cake']"
 mixed fruit jam ,670g,sunkist,jams spreads honey,branded food,fruit, mixed jam ,"['mixed', 'jam']"
 juice punja da kinnow ,1l,b natural,fruit juices drinks,beverages,kinnow juice, punja da ,[]
 oats chinese chili ,40g,kosh,breakfast cereals,branded food,oats chili, chinese ,['chinese']
bellie flavoured cream sandwich cream biscuit ,190g,chocolate,biscuits cookies crackers,branded food,cream sandwich,bellie flavoured biscuit ,"['flavoured', 'biscuit']"
 falooda mango ,200g,weikfield,fun drink mix,beverages,mango falooda, ,[]
 special chyawanprash ,500g,patanjali,ready to fry,branded food,, special chyawanprash ,['special']
 chocos ,250g,patanjali,breakfast cereals,branded food,, chocos ,[]
nilons cut pickle ,300g,three mango,pickles chutneys,branded food,pickle,nilons cut ,['cut']
nilons pickle ,200g,three mango,pickles chutneys,branded food,pickle,nilons ,[]
 dahi ,200 ml,prabhat,chocolates cakes confectioneries,branded food,dahi, ,[]
potato ,,soo fresh,chips namkeens snacks,branded food,potato, ,[]
apple fuzi,,appy fizz,mineral water soda,beverages,apple, fuzi,[]
pomegranate,,the grannary,chocolates cakes confectioneries,branded food,pomegranate,,[]
bottle gourd,,gud egg,sauces puree dips,branded food,gourd,bottle ,['bottle']
mint,,smint,chocolates cakes confectioneries,branded food,mint,,[]
cholai,,choki choki,toys,toys stationery,,cholai,[]
baa raw,,ram bandhu,chips namkeens snacks,branded food,,baa raw,"['baa', 'raw']"
sarson sag,,sagar,toys,toys stationery,sarson, sag,['sag']
ttrt snk supreme pizza pp ,1p,frozen,frozen veg,branded food,pizza,ttrt snk supreme pp ,['supreme']
 popcorn sea salt & pepper pp ,35g,tasty treat,frozen veg,branded food,pepper, popcorn sea salt & pp ,"['popcorn', 'sea', 'salt']"
 namk boondi pp ,200g,tasty treat,masala spices,grocery,, namk boondi pp ,[]
 bhuna chana namkeen ,200g,tasty treat,frozen veg,branded food,chana bhuna namkeen, ,[]
 fall protect stylin cream ,75 g,brylcreem,hair care,beauty personal care,cream stylin, fall protect ,"['fall', 'protect']"
on eaoning purpoe grinder 40g,1y s,all out,freshners repellents,home hygiene,,on eaoning purpoe grinder 40g,['grinder']
 milk taaza tp ,500ml,amul,ice cream desserts,branded food,milk, taaza tp ,[]
waghbakri bag ,200g,tata tea,tea coffee,beverages,bag,waghbakri ,[]
waghbakri bhuki ,1kg,tata tea,tea coffee,beverages,,waghbakri bhuki ,[]
 stamina - lime n lemon sports drink ,200ml,amul,soft drinks,beverages,lime lemon, stamina - n sports drink ,"['stamina', 'sports', 'drink']"
gh tal makhana ,50g,taj mahal,tea coffee,beverages,,gh tal makhana ,['tal']
 butter cooking bx ,500g,amul,ice cream desserts,branded food,butter, cooking bx ,['cooking']
 gulab jamun gift pack ,2kg,amul,ice cream desserts,branded food,gulab jamun, gift pack ,"['gift', 'pack']"
 babycereal mltgrn dal veg ,300g,cerelac,chocolates cakes confectioneries,branded food,veg dal, babycereal mltgrn ,[]
 wht rce mngdlvg khchd s2 8m ,300g,cerelac,oral care,beauty personal care,, wht rce mngdlvg khchd s2 8m ,[]
 liq polish black 75m,,cherry,otc,beauty personal care,black, liq polish 75m,['polish']
 liq polish white cleaner ,75ml,cherry,home cleaning,home hygiene,white, liq polish cleaner ,"['polish', 'cleaner']"
gh lapsi dalia ,500g,big sams,otc,beauty personal care,dalia,gh lapsi ,[]
gh moong whole std ,500g,,organic flours,grocery,moong,gh whole std ,"['whole', 'std']"
gh ginger garlic mix jr ,75g,,jams spreads honey,branded food,garlic ginger,gh mix jr ,['mix']
gh pow garam ,100g,old spice,masala spices,grocery,,gh pow garam ,"['pow', 'garam']"
gh soyabean ,500g,,chocolates cakes confectioneries,branded food,soyabean,gh ,[]
gh masoor desi ,500g,,ready to eat,branded food,masoor,gh desi ,['desi']
 cookie chocotina thins ,120g,lotte,chocolates cakes confectioneries,branded food,, cookie chocotina thins ,"['cookie', 'thins']"
shiv fryum sabudana ,200g,shakti,toys,toys stationery,,shiv fryum sabudana ,['shiv']
hart beat candy corazon pp ,150g,three mango,chocolates cakes confectioneries,branded food,candy,hart beat corazon pp ,"['hart', 'beat', 'corazon']"
healtht cold press sesame bt 200ml,1s,,edible oil ghee,grocery,sesame,healtht cold press bt 200ml,"['cold', 'press']"
 snk freshly roast party ,500g,tong garden,stationery,toys stationery,roast, snk freshly party ,"['freshly', 'party']"
 ultr pwr plus floral ref bx ,45ml,all out,freshners repellents,home hygiene,floral, ultr pwr plus ref bx ,"['pwr', 'plus', 'ref']"
 glucose d orange + ,1 500g,rasna,chocolates cakes confectioneries,branded food,orange, glucose d + ,['glucose']
 powdered concentrate rose shakeup ,250g,rasna,chocolates cakes confectioneries,branded food,, powdered concentrate rose shakeup ,"['powdered', 'concentrate', 'rose']"
abbies vinegr white distilled bt ,473ml,mr.white,toys,toys stationery,white,abbies vinegr distilled bt ,['distilled']
 liq conc mojito mint bt ,250ml,monin,chocolates cakes confectioneries,branded food,mint mojito, liq conc bt ,['conc']
 mango ,700ml,monin,fun drink mix,beverages,mango, ,[]
lindt choco swiss prem br ,300g,chocolate,chocolates cakes confectioneries,branded food,choco,lindt swiss prem br ,"['swiss', 'prem']"
 show gel men sensitive ,250ml,palmolive,skin care,beauty personal care,, show gel men sensitive ,"['show', 'gel', 'men', 'sensitive']"
 nimbooz masala soda 500ml,7 up,7 up,breakfast cereals,branded food,, nimbooz masala soda 500ml,"['masala', 'soda']"
 pop spicy drink ,250 ml,bisleri,fruit juices drinks,beverages,spicy, pop drink ,"['pop', 'drink']"
 olive extra light bt ,5l,karmiq,edible oil ghee,grocery,olive light, extra bt ,['extra']
 milk chocolate with hazelnut ,100g,delaviuda,chocolates cakes confectioneries,branded food,chocolate hazelnut milk, with ,[]
 thirty day pack almond pp ,300g,karmiq,chocolates cakes confectioneries,branded food,almond, thirty day pack pp ,"['thirty', 'day', 'pack']"
fun salsa dip ,300g,hr foods,dry fruits,grocery,salsa,fun dip ,"['fun', 'dip']"
 frt juice masala guava tp ,1l,real,fruit juices drinks,beverages,juice guava, frt masala tp ,['masala']
 nail enamel bling it on ,9ml,ts,home cleaning,home hygiene,, nail enamel bling it on ,"['nail', 'enamel']"
nilons ginger + 00g,1 100g,,cooking paste,grocery,ginger,nilons + 00g,[]
 garlic bruschetta ,100g,baker street,sauces puree dips,branded food,garlic bruschetta, ,[]
 cheese & garlic khari munchies ,150g,baker street,chips namkeens snacks,branded food,cheese garlic, & khari munchies ,['munchies']
 aloevera juice fibre orange ,1l,patanjali,fruit juices drinks,beverages,orange juice, aloevera fibre ,['fibre']
nilons gorkeri pickle ,1kg,,pickles chutneys,branded food,pickle,nilons gorkeri ,[]
nilons garlic papad ,160g,,ready to fry,branded food,garlic papad,nilons ,[]
 cheese nat cheder ,200g,britannia,biscuits cookies crackers,branded food,cheese, nat cheder ,['nat']
 jam mix fruit ,100g,mapro,jams spreads honey,branded food,fruit, jam mix ,"['jam', 'mix']"
 wc mng shake tp ,180ml,britannia,biscuits cookies crackers,branded food,, wc mng shake tp ,['shake']
 chicken barbeque sausages ,250g,zorabian,ready to eat,branded food,chicken, barbeque sausages ,['sausages']
 bodywash absolute relax ,750ml,palmolive,skin care,beauty personal care,, bodywash absolute relax ,"['absolute', 'relax']"
 shining powder pp ,200g,pitambari,masala spices,grocery,shining, powder pp ,['powder']
 froz snack smiles ,175g,mccain,frozen veg,branded food,, froz snack smiles ,"['snack', 'smiles']"
 paneer m,200g,vita,ready to eat,branded food,paneer, m,[]
 microfiber multipurpose cloth,,prim,cleaning accessories,home hygiene,cloth microfiber, multipurpose ,['multipurpose']
 winter intense maximum moisturiser ,60 ml,lakme,skin care,beauty personal care,, winter intense maximum moisturiser ,"['winter', 'intense', 'maximum', 'moisturiser']"
"lakme lip love lip , , ",3.8 g,cherry,skin care,beauty personal care,,"lakme lip love lip , , ","['lip', 'love', 'lip']"
 sczwn chilli garlic sauce ,100g,wingreens,sauces puree dips,branded food,chilli garlic sauce, sczwn ,[]
kw magnum brownie ,90ml,,toys,toys stationery,,kw magnum brownie ,"['magnum', 'brownie']"
 face wipes sunscn plm&aloevera ,10p,kara,skin care,beauty personal care,, face wipes sunscn plm&aloevera ,"['face', 'wipes']"
 strawberry & cream mint oil hand wash ,200 ml,lux,personal hygiene,beauty personal care,mint strawberry cream, & oil hand wash ,"['oil', 'hand', 'wash']"
dilmah bag ,25 pcs,premium,tea coffee,beverages,bag,dilmah ,[]
 liq refill super hts,90 nig,all out,freshners repellents,home hygiene,, liq refill super hts,"['refill', 'super']"
 papad aloo ,75g,mother s recipe,ready to fry,branded food,aloo papad, ,[]
 ultra stainless 5 h c,,laser,men toiletries,beauty personal care,, ultra stainless 5 h c,"['ultra', 'stainless']"
 tortilla nachos jalapeno ,150g,salsalito,chips namkeens snacks,branded food,jalapeno tortilla, nachos ,['nachos']
liberty palmolein pp ,1l,everyday,edible oil ghee,grocery,,liberty palmolein pp ,['liberty']
org rajma chitra pp ,500g,organic tattva,organic pulses,grocery,rajma chitra,org pp ,['org']
 sunflower pp ,1l,nature fresh,edible oil ghee,grocery,sunflower, pp ,[]
 macaroni elbow mix ,430g,mtr,ready to eat,branded food,, macaroni elbow mix ,"['macaroni', 'elbow', 'mix']"
" herbals soa, almond and rose, ack of 4 ",125g p,himalaya,hair care,beauty personal care,almond," herbals soa, and rose, ack of 4 ","['herbals', 'ack']"
munchys plain biscuit vege cracker original ,300g,,biscuits cookies crackers,branded food,vege,munchys plain biscuit cracker original ,"['plain', 'biscuit', 'cracker', 'original']"
 urad chilka ,500g,mother earth,chips namkeens snacks,branded food,urad, chilka ,[]
 masoor whole ,500g,mother earth,masala spices,grocery,masoor, whole ,['whole']
mapro toppings syrup bt ,200ml,chocolate,chocolates cakes confectioneries,branded food,syrup toppings,mapro bt ,[]
 cheese ceka ,400g,britannia,biscuits cookies crackers,branded food,cheese, ceka ,[]
 day wonderfulls berriesnut,,good look,freshners repellents,home hygiene,, day wonderfulls berriesnut,['day']
 pure magic deuce milk choco ,60g,britannia,chocolates cakes confectioneries,branded food,choco milk, pure magic deuce ,"['pure', 'magic', 'deuce']"
 choco dairy milk ,6.3g,cadbury,chocolates cakes confectioneries,branded food,dairy choco milk, ,[]
 claique date ,500g,nature s choice,mineral water soda,beverages,, claique date ,['date']
 vita mariegold biscuit ,300g,britannia,biscuits cookies crackers,branded food,, vita mariegold biscuit ,"['vita', 'biscuit']"
 ipc butter delite 70g,50g,act ii,chips namkeens snacks,branded food,butter, ipc delite 70g,['ipc']
 h&e etreame butter pp ,70g,act ii,chips namkeens snacks,branded food,butter, h&e etreame pp ,[]
chicken sausages ,300g,venkys,ready to eat,branded food,chicken, sausages ,['sausages']
pooof peri peri flavoured potato kettle ,65g,pooof!,chips namkeens snacks,branded food,potato,pooof peri peri flavoured kettle ,"['peri', 'peri', 'flavoured', 'kettle']"
 back scrubber poly pack,,body line,skin care,beauty personal care,, back scrubber poly pack,"['back', 'scrubber', 'poly', 'pack']"
 thick mota poha pp ,500g,rajdhani,chocolates cakes confectioneries,branded food,poha, thick mota pp ,"['thick', 'mota']"
-steam koam rice,,l oreal paris,noodles pastas vermicelli,branded food,rice,-steam koam ,[]
parsley,,parle,biscuits cookies crackers,branded food,parsley,,[]
 ice peach flavour ,350ml,lipton,tea coffee,beverages,peach, ice flavour ,"['ice', 'flavour']"
 non snck chi gar fin ,400g,yummiez,frozen veg,branded food,, non snck chi gar fin ,"['non', 'chi', 'gar', 'fin']"
 frz snck cheese finger ,400g,yummiez,frozen veg,branded food,cheese, frz snck finger ,['finger']
dr farm fresh pk of 6,,dr. kansals,freshners repellents,home hygiene,,dr farm fresh pk of 6,"['farm', 'fresh']"
 shmp ub royal jelly&lvnd bt 175m,,garnier,skin care,beauty personal care,, shmp ub royal jelly&lvnd bt 175m,['royal']
loreal hrclr 5 nat ,,brown & polson,chocolates cakes confectioneries,branded food,,loreal hrclr 5 nat ,['nat']
 readymix kitchen king msl bx ,50g,aachi,masala spices,grocery,, readymix kitchen king msl bx ,"['kitchen', 'king', 'msl']"
 readymix rasam pp ,100g,aachi,masala spices,grocery,rasam, readymix pp ,[]
 hajmola anar dana 120tb,,dabur,otc,beauty personal care,, hajmola anar dana 120tb,['dana']
 fc ws blkhed uprootng scrb ,100g,garnier,skin care,beauty personal care,, fc ws blkhed uprootng scrb ,[]
loreal shmp exp colour protect 175m,,hair & care,hair care,beauty personal care,,loreal shmp exp colour protect 175m,"['exp', 'colour', 'protect']"
 fall solution shampoo ,180 ml,sunsilk,hair care,beauty personal care,, fall solution shampoo ,"['fall', 'solution', 'shampoo']"
horlicks growth jar ,400g,chocolate,health drinks,beverages,,horlicks growth jar ,"['horlicks', 'growth', 'jar']"
crmt nakin * ly 50 ,22 1 p,paper boat,fruit juices drinks,beverages,,crmt nakin * ly 50 ,[]
 mad angles achari masti wafers ,90g,bingo,chips namkeens snacks,branded food,, mad angles achari masti wafers ,"['mad', 'angles', 'wafers']"
crmt cup 20p,300ml,paper boat,fruit juices drinks,beverages,,crmt cup 20p,['cup']
nutrela table spread bx ,100g,premium,jams spreads honey,branded food,,nutrela table spread bx ,"['table', 'spread']"
gh surti kolam rice pp ,1kg,,frozen veg,branded food,rice,gh surti kolam pp ,[]
 ivory cst sngl org dark clt bx ,125g,amul,ice cream desserts,branded food,dark, ivory cst sngl org clt bx ,"['ivory', 'cst', 'org']"
 cow bt ,200ml,grb,edible oil ghee,grocery,, cow bt ,['cow']
 premix masala bx ,140g,society,tea coffee,beverages,, premix masala bx ,['masala']
 multigrain kokos pp ,350g,nesplus,breakfast cereals,branded food,multigrain, kokos pp ,['kokos']
 pickle green chilli poly pack ,200g,pravin,pickles chutneys,branded food,green chilli pickle, poly pack ,"['poly', 'pack']"
 deo copper bx ,120ml,wild stone,deos perfumes,beauty personal care,, deo copper bx ,"['deo', 'copper']"
 deo code platinum bx ,120ml,wild stone,deos perfumes,beauty personal care,, deo code platinum bx ,"['deo', 'code', 'platinum']"
 deo aqua fresh 150m,,wild stone,deos perfumes,beauty personal care,aqua, deo fresh 150m,"['deo', 'fresh']"
 papad special masala small ,200g,dnv,ready to fry,branded food,papad, special masala small ,"['special', 'masala', 'small']"
 pasta craft elbow pp ,1kg,del monte,noodles pastas vermicelli,branded food,pasta, craft elbow pp ,"['craft', 'elbow']"
 gf pista coconut cookie pp ,200g,wheafree,chocolates cakes confectioneries,branded food,pista coconut, gf cookie pp ,['cookie']
 soap ultra sensusal ,125g,wild stone,skin care,beauty personal care,, soap ultra sensusal ,"['soap', 'ultra']"
crmt plain lami pp med round 25n19.5cm,,,cleaning accessories,home hygiene,,crmt plain lami pp med round 25n19.5cm,"['plain', 'med', 'round']"
 pickle chilli jr ,350g,ram bandhu,pickles chutneys,branded food,chilli pickle, jr ,[]
 o hyderabadi chick biryani ,80g,kitchens of india,chips namkeens snacks,branded food,biryani, o hyderabadi chick ,['chick']
crmt dlx toilet roll y 4*00p,3 pl,,home cleaning,home hygiene,,crmt dlx toilet roll y 4*00p,"['toilet', 'roll']"
 sweet lasi pp ,400ml,verka,ready to eat,branded food,, sweet lasi pp ,['sweet']
 ndl vegeterian curry flavour pp ,85g,koka,noodles pastas vermicelli,branded food,curry, ndl vegeterian flavour pp ,['flavour']
baskin robin icecream ,900ml,chocolate,chocolates cakes confectioneries,branded food,,baskin robin icecream ,"['robin', 'icecream']"
 tetley bag elaichi ,12pcs,tata tea,tea coffee,beverages,elaichi bag, tetley ,['tetley']
 pastry cake bx ,4*25g,pillsbury,baking dessert mixes,branded food,pastry, cake bx ,['cake']
 mnhy +chatx 120g+pnch 120g op,140g,bikano,chips namkeens snacks,branded food,, mnhy +chatx 120g+pnch 120g op,[]
 ftb lemon ,25 s,tetley,tea coffee,beverages,lemon, ftb ,[]
ambipur air vanilla&spice ,275g,soo fresh,freshners repellents,home hygiene,,ambipur air vanilla&spice ,['air']
 infant nan 1 bx ,400g,nestle,baby food,baby care,, infant nan 1 bx ,"['infant', 'nan']"
nestle kitkat ,12.5g,chocolate,chocolates cakes confectioneries,branded food,,nestle kitkat ,['nestle']
 lip strawberry shine ,4.8g,nivea,skin care,beauty personal care,strawberry, lip shine ,"['lip', 'shine']"
 liq ref insta 5 refill bx ,3*35ml,mortein,toys,toys stationery,, liq ref insta 5 refill bx ,"['ref', 'refill']"
nilons sweet tutti fruity ,150g,,jams spreads honey,branded food,fruity,nilons sweet tutti ,"['sweet', 'tutti']"
 melba toast regular ,100g,baker street,toys,toys stationery,melba, toast regular ,"['toast', 'regular']"
 khari ,150g,baker street,masala spices,grocery,, khari ,[]
nilons lime squash ,700ml,,fun drink mix,beverages,lime squash,nilons ,[]
nilons classic mixed pickle ,5kg,,pickles chutneys,branded food,pickle,nilons classic mixed ,"['classic', 'mixed']"
nilons potato papad ,70g,,chips namkeens snacks,branded food,potato papad,nilons ,[]
 aarogya mustard bt ,1l,patanjali,edible oil ghee,grocery,mustard, aarogya bt ,[]
 arjun aa juice ,500 ml,patanjali,fruit juices drinks,beverages,juice, arjun aa ,['arjun']
 apple murabba ,1kg,patanjali,fruit juices drinks,beverages,apple, murabba ,[]
 special urad wadiyan ,200g,bhape,ready to fry,branded food,urad, special wadiyan ,['special']
 toothbrush slim soft ,1p,colgate,oral care,beauty personal care,, toothbrush slim soft ,"['toothbrush', 'slim', 'soft']"
 oxygen moisture conditioner ,80 ml,dove,hair care,beauty personal care,, oxygen moisture conditioner ,"['oxygen', 'moisture', 'conditioner']"
 pow spice dry mango bx ,50g,badshah,soft drinks,beverages,mango, pow spice dry bx ,"['pow', 'spice', 'dry']"
kelloggs cf ksr pista badam bx ,280g,real,chocolates cakes confectioneries,branded food,pista badam,kelloggs cf ksr bx ,['kelloggs']
 inst pasta pazzta tomato twist ,64g,maggi,noodles pastas vermicelli,branded food,pasta tomato, inst pazzta twist ,"['inst', 'twist']"
 garlic pickle ,400g,tops,pickles chutneys,branded food,garlic pickle, ,[]
fresco eggs white ack,10 p,mr.white,toys,toys stationery,eggs white,fresco ack,"['fresco', 'ack']"
 satrangee mix mukhwas ,100g,dizzle,masala spices,grocery,, satrangee mix mukhwas ,['mix']
 snk chicken popcorn pp ,400g,yummiez,noodles pastas vermicelli,branded food,chicken, snk popcorn pp ,['popcorn']
 goldlite sun & corn pp ,1l,sundrop,edible oil ghee,grocery,corn, goldlite sun & pp ,['sun']
 soya katori ,130g,diet foods,organic flours,grocery,soya, katori ,[]
 mr m squeezy,50 g,fevicol,stationery,toys stationery,, mr m squeezy,['squeezy']
l-maoor malka,,mala s,toys,toys stationery,,l-maoor malka,[]
 namkeen tanatan ,400g,bikaji,chips namkeens snacks,branded food,namkeen, tanatan ,[]
 sld drs garlic bt ,250ml,remia,jams spreads honey,branded food,garlic, sld drs bt ,"['sld', 'drs']"
 butter white ,100g,nilgiris,mineral water soda,beverages,butter white, ,[]
 max protein honey lemon br ,70g,ritebite,breakfast cereals,branded food,honey lemon, max protein br ,"['max', 'protein']"
 & cl fw morn eng bery 2+ 00ml op,1 100ml,clean mate,toys,toys stationery,, & cl fw morn eng bery 2+ 00ml op,"['morn', 'eng']"
 body deodorizer fresh rose 120 btm,,nivea,deos perfumes,beauty personal care,, body deodorizer fresh rose 120 btm,"['body', 'fresh', 'rose', '120']"
ecret tmptn deo te amo aqua bt ,120ml,ching s secret,deos perfumes,beauty personal care,aqua,ecret tmptn deo te amo bt ,"['deo', 'amo']"
 cumin whole pp ,100g,sangi s kitchen,stationery,toys stationery,cumin, whole pp ,['whole']
wheat atta ,10kg,tata tea,tea coffee,beverages,wheat, atta ,['atta']
 b sen whtning soft tooth brush po1,,oral-b,oral care,beauty personal care,, b sen whtning soft tooth brush po1,"['sen', 'soft', 'tooth', 'brush']"
 sk eggs kadaknath ,6p,bajaj,skin care,beauty personal care,eggs, sk kadaknath ,[]
 winter intense maximum moisturiser ,120 ml,lakme,skin care,beauty personal care,, winter intense maximum moisturiser ,"['winter', 'intense', 'maximum', 'moisturiser']"
 agrbt tulip ndlmoss 180g op,180g+s,pratha,toys,toys stationery,tulip, agrbt ndlmoss 180g op,[]
 agrbat sanadalmoss + 80g,1 180g,pratha,toys,toys stationery,, agrbat sanadalmoss + 80g,[]
fructis shmp triple nutritn streng ,175ml,,toys,toys stationery,,fructis shmp triple nutritn streng ,['triple']
 fw acno fight men tube ,50g,garnier,skin care,beauty personal care,, fw acno fight men tube ,"['fight', 'men', 'tube']"
 expert protection whitenin toothpaste ,70 g,pepsodent,oral care,beauty personal care,, expert protection whitenin toothpaste ,"['expert', 'protection', 'toothpaste']"
 readymix pepper chicken pp ,50g,aachi,masala spices,grocery,pepper chicken, readymix pp ,[]
 jam marmlds 3 fruit bt ,500g,bhuira,fun drink mix,beverages,fruit, jam marmlds 3 bt ,['jam']
 cond ub mythic olive bt ,175ml,garnier,skin care,beauty personal care,olive, cond ub mythic bt ,['mythic']
 msl oats mumbai pav bhaji pp ,32g,saffola,chocolates cakes confectioneries,branded food,oats bhaji, msl mumbai pav pp ,"['msl', 'pav']"
winkiesw layer cake ,,chocolate,chocolates cakes confectioneries,branded food,,winkiesw layer cake ,"['layer', 'cake']"
 pow spice roasted jeera ,100g,ashok,chips namkeens snacks,branded food,jeera roasted, pow spice ,"['pow', 'spice']"
 yumm mltrn chps tngy tomato pp ,60g,too yumm!,sauces puree dips,branded food,tomato, yumm mltrn chps tngy pp ,[]
 prawns - medium ,250g,sumeru,frozen veg,branded food,prawns, - medium ,['medium']
 zero ,330ml,coca cola,soft drinks,beverages,, zero ,['zero']
ghpr kabuli chana pp ,500g,,chips namkeens snacks,branded food,kabuli chana,ghpr pp ,[]
ghpr moth whole pp ,500g,,chocolates cakes confectioneries,branded food,,ghpr moth whole pp ,"['moth', 'whole']"
parle rusk elaichi ,200g,premium,chocolates cakes confectioneries,branded food,rusk elaichi,parle ,[]
 aloevera fibre juice ,1l,patanjali,fruit juices drinks,beverages,juice, aloevera fibre ,['fibre']
 soap good morning ,125g,park avenue,deos perfumes,beauty personal care,, soap good morning ,"['soap', 'good', 'morning']"
bhpc edp women ,2 50ml,ritter sport,toys,toys stationery,,bhpc edp women ,"['edp', 'women']"
 palm pp ,1l,raag,edible oil ghee,grocery,, palm pp ,['palm']
 nourishing soft & smooth shampoo ,80 ml,sunsilk,hair care,beauty personal care,, nourishing soft & smooth shampoo ,"['nourishing', 'soft', 'smooth', 'shampoo']"
 mad angles chaat masti namkeen ,90g,bingo,chips namkeens snacks,branded food,chaat namkeen, mad angles masti ,"['mad', 'angles']"
 o readymeal mirch ka saln ,285g,kitchens of india,toys,toys stationery,mirch, o readymeal ka saln ,[]
" eyebrow pencil, black, ",2 g,lakme,skin care,beauty personal care,," eyebrow pencil, black, ",['eyebrow']
ocean frt jc wave strbry & rsbry bt 300m,,,freshners repellents,home hygiene,,ocean frt jc wave strbry & rsbry bt 300m,"['ocean', 'wave']"
 age protect anti ageing cream ,40g,olay,skin care,beauty personal care,cream, age protect anti ageing ,"['age', 'protect', 'anti', 'ageing']"
 natural juice pineapple ,320ml,mogu mogu,fruit juices drinks,beverages,pineapple juice, natural ,['natural']
 ecret red chilli auce ,90g,ching s secret,sauces puree dips,branded food,chilli red, ecret auce ,[]
 nk con con bbq corn chip 60g,1 s,no1,chocolates cakes confectioneries,branded food,corn, nk con con bbq chip 60g,"['con', 'con', 'chip']"
natures dhaniya leaves & heeng papad ,140g,tasty treat,masala spices,grocery,papad,natures dhaniya leaves & heeng ,"['natures', 'leaves']"
